ensembl_gene_id	ensembl_transcript_id	ensembl_exon_id	rank	transcript_biotype
ENSG00000049541	ENST00000055077	ENSE00001873689	11	protein_coding
ENSG00000050327	ENST00000056217	ENSE00001894090	15	protein_coding
ENSG00000050344	ENST00000056233	ENSE00001420641	4	protein_coding
ENSG00000052723	ENST00000060969	ENSE00001862143	5	protein_coding
ENSG00000054967	ENST00000064780	ENSE00002229375	11	protein_coding
ENSG00000004897	ENST00000066544	ENSE00001799129	19	protein_coding
ENSG00000058799	ENST00000072644	ENSE00001455144	11	protein_coding
ENSG00000133597	ENST00000072869	ENSE00000360284	8	protein_coding
ENSG00000040933	ENST00000074304	ENSE00001580416	26	protein_coding
ENSG00000059804	ENST00000075120	ENSE00001922435	10	protein_coding
ENSG00000136960	ENST00000075322	ENSE00002117172	25	protein_coding
ENSG00000060140	ENST00000075503	ENSE00001145475	11	protein_coding
ENSG00000088256	ENST00000078429	ENSE00002906595	7	protein_coding
ENSG00000061794	ENST00000081029	ENSE00002273609	8	protein_coding
ENSG00000062725	ENST00000083182	ENSE00001205688	13	protein_coding
ENSG00000063180	ENST00000084798	ENSE00003138688	9	protein_coding
ENSG00000063245	ENST00000085079	ENSE00001354396	10	protein_coding
ENSG00000069998	ENST00000155674	ENSE00001867638	8	protein_coding
ENSG00000071575	ENST00000155926	ENSE00001488678	3	protein_coding
ENSG00000068394	ENST00000156109	ENSE00001756911	11	protein_coding
ENSG00000021776	ENST00000156471	ENSE00001197624	35	protein_coding
ENSG00000071655	ENST00000156825	ENSE00002818414	7	protein_coding
ENSG00000071282	ENST00000157600	ENSE00001651667	6	protein_coding
ENSG00000013275	ENST00000157812	ENSE00003890485	11	protein_coding
ENSG00000004660	ENST00000158166	ENSE00001489755	16	protein_coding
ENSG00000072849	ENST00000158771	ENSE00001117573	7	protein_coding
ENSG00000074855	ENST00000159087	ENSE00003466721	18	protein_coding
ENSG00000077063	ENST00000160373	ENSE00001129762	23	protein_coding
ENSG00000079616	ENST00000160827	ENSE00001318180	14	protein_coding
ENSG00000047188	ENST00000161863	ENSE00000890209	30	protein_coding
ENSG00000064545	ENST00000162044	ENSE00002268059	12	protein_coding
ENSG00000065970	ENST00000162391	ENSE00000867811	11	protein_coding
ENSG00000067182	ENST00000162749	ENSE00003594635	10	protein_coding
ENSG00000066455	ENST00000163416	ENSE00001762532	13	protein_coding
ENSG00000067365	ENST00000163678	ENSE00002606230	10	nonsense_mediated_decay
ENSG00000008300	ENST00000164024	ENSE00001521962	35	protein_coding
ENSG00000068971	ENST00000164133	ENSE00002433706	14	protein_coding
ENSG00000068615	ENST00000165698	ENSE00001134511	7	protein_coding
ENSG00000071539	ENST00000166345	ENSE00000852247	13	protein_coding
ENSG00000071246	ENST00000167106	ENSE00001320354	7	protein_coding
ENSG00000071994	ENST00000167218	ENSE00001163779	5	nonsense_mediated_decay
ENSG00000072506	ENST00000168216	ENSE00003896917	6	protein_coding
ENSG00000075336	ENST00000169551	ENSE00001102320	6	protein_coding
ENSG00000079313	ENST00000170168	ENSE00000892148	16	protein_coding
ENSG00000075975	ENST00000170447	ENSE00001300768	8	protein_coding
ENSG00000076650	ENST00000170564	ENSE00002823779	20	protein_coding
ENSG00000079999	ENST00000171111	ENSE00002867049	6	protein_coding
ENSG00000078589	ENST00000171757	ENSE00001897011	4	protein_coding
ENSG00000064300	ENST00000172229	ENSE00000819772	6	protein_coding
ENSG00000065320	ENST00000173229	ENSE00001126297	7	protein_coding
ENSG00000066583	ENST00000173527	ENSE00001232283	5	protein_coding
ENSG00000070444	ENST00000174618	ENSE00001279419	6	protein_coding
ENSG00000068697	ENST00000175091	ENSE00000901179	7	protein_coding
ENSG00000072135	ENST00000175756	ENSE00001159610	15	protein_coding
ENSG00000072786	ENST00000176763	ENSE00001003620	19	protein_coding
ENSG00000074071	ENST00000177742	ENSE00001528434	3	protein_coding
ENSG00000074410	ENST00000178638	ENSE00001820066	11	protein_coding
ENSG00000137764	ENST00000178640	ENSE00001890016	22	protein_coding
ENSG00000078237	ENST00000179259	ENSE00001158066	6	protein_coding
ENSG00000003987	ENST00000180173	ENSE00002112952	14	protein_coding
ENSG00000065883	ENST00000181839	ENSE00001942437	14	protein_coding
ENSG00000065308	ENST00000182527	ENSE00001183055	11	protein_coding
ENSG00000065518	ENST00000184266	ENSE00001859930	3	protein_coding
ENSG00000068097	ENST00000184956	ENSE00001431440	20	protein_coding
ENSG00000068912	ENST00000185150	ENSE00003841937	14	protein_coding
ENSG00000075568	ENST00000186436	ENSE00001153481	41	protein_coding
ENSG00000072954	ENST00000187762	ENSE00001309146	6	protein_coding
ENSG00000073008	ENST00000187830	ENSE00003523868	8	nonsense_mediated_decay
ENSG00000159885	ENST00000187879	ENSE00002444011	4	protein_coding
ENSG00000075089	ENST00000188312	ENSE00003476784	11	protein_coding
ENSG00000075415	ENST00000188376	ENSE00003548130	7	protein_coding
ENSG00000064218	ENST00000190165	ENSE00000681863	2	protein_coding
ENSG00000079156	ENST00000190611	ENSE00001956410	25	protein_coding
ENSG00000065060	ENST00000192788	ENSE00001913117	21	protein_coding
ENSG00000081087	ENST00000193322	ENSE00001121007	6	protein_coding
ENSG00000072110	ENST00000193403	ENSE00001167970	21	protein_coding
ENSG00000081791	ENST00000194118	ENSE00002047567	13	protein_coding
ENSG00000081870	ENST00000194214	ENSE00001455098	6	protein_coding
ENSG00000082146	ENST00000194530	ENSE00001172825	12	protein_coding
ENSG00000083444	ENST00000196061	ENSE00000818966	19	protein_coding
ENSG00000083544	ENST00000196169	ENSE00002303515	14	protein_coding
ENSG00000083720	ENST00000196371	ENSE00001142959	17	protein_coding
ENSG00000083812	ENST00000196482	ENSE00002249748	4	protein_coding
ENSG00000083817	ENST00000196489	ENSE00000822470	4	protein_coding
ENSG00000083845	ENST00000196551	ENSE00003891648	6	protein_coding
ENSG00000084444	ENST00000197268	ENSE00001410227	13	protein_coding
ENSG00000085721	ENST00000198767	ENSE00001869221	18	protein_coding
ENSG00000086232	ENST00000199389	ENSE00001085181	15	protein_coding
ENSG00000086289	ENST00000199448	ENSE00000832415	3	protein_coding
ENSG00000086504	ENST00000199706	ENSE00003831738	6	protein_coding
ENSG00000086589	ENST00000199814	ENSE00003557498	11	protein_coding
ENSG00000078018	ENST00000199940	ENSE00001948418	15	protein_coding
ENSG00000086827	ENST00000200135	ENSE00001130190	16	protein_coding
ENSG00000087074	ENST00000200453	ENSE00001233149	3	protein_coding
ENSG00000087077	ENST00000200457	ENSE00001833240	9	protein_coding
ENSG00000005893	ENST00000200639	ENSE00001187748	9	protein_coding
ENSG00000197208	ENST00000200652	ENSE00001124255	10	protein_coding
ENSG00000087510	ENST00000201031	ENSE00001029211	7	protein_coding
ENSG00000088356	ENST00000202017	ENSE00001109504	5	protein_coding
ENSG00000088808	ENST00000202556	ENSE00003834392	17	protein_coding
ENSG00000188559	ENST00000202677	ENSE00001774992	40	protein_coding
ENSG00000089009	ENST00000202773	ENSE00001322281	7	protein_coding
ENSG00000089063	ENST00000202834	ENSE00003664520	4	protein_coding
ENSG00000089163	ENST00000202967	ENSE00002274293	4	protein_coding
ENSG00000089195	ENST00000203001	ENSE00003847622	11	protein_coding
ENSG00000249115	ENST00000203166	ENSE00003513911	19	protein_coding
ENSG00000010256	ENST00000203407	ENSE00001861123	13	protein_coding
ENSG00000089693	ENST00000203630	ENSE00002293567	9	protein_coding
ENSG00000089723	ENST00000203664	ENSE00001402552	6	protein_coding
ENSG00000090447	ENST00000204517	ENSE00001739113	7	protein_coding
ENSG00000090470	ENST00000204549	ENSE00001211778	5	protein_coding
ENSG00000090776	ENST00000204961	ENSE00001041114	5	protein_coding
ENSG00000090924	ENST00000205135	ENSE00001141293	15	protein_coding
ENSG00000090932	ENST00000205143	ENSE00000951872	8	protein_coding
ENSG00000157426	ENST00000205214	ENSE00001672937	15	protein_coding
ENSG00000091140	ENST00000205402	ENSE00003643561	14	protein_coding
ENSG00000091317	ENST00000205636	ENSE00001328818	4	protein_coding
ENSG00000091640	ENST00000206020	ENSE00000676418	7	protein_coding
ENSG00000091947	ENST00000206380	ENSE00003892239	4	protein_coding
ENSG00000091986	ENST00000206423	ENSE00003703733	8	protein_coding
ENSG00000092010	ENST00000206451	ENSE00003477939	11	protein_coding
ENSG00000092067	ENST00000206513	ENSE00000586212	2	protein_coding
ENSG00000092094	ENST00000206542	ENSE00002473375	11	protein_coding
ENSG00000092140	ENST00000206595	ENSE00001093147	15	protein_coding
ENSG00000093217	ENST00000207870	ENSE00003524668	19	protein_coding
ENSG00000094804	ENST00000209728	ENSE00003293006	12	protein_coding
ENSG00000094914	ENST00000209873	ENSE00002374010	16	protein_coding
ENSG00000094916	ENST00000209875	ENSE00001256276	5	protein_coding
ENSG00000076321	ENST00000209884	ENSE00001329962	12	protein_coding
ENSG00000095059	ENST00000210060	ENSE00003198419	9	protein_coding
ENSG00000167964	ENST00000210187	ENSE00002603494	9	protein_coding
ENSG00000095261	ENST00000210313	ENSE00001853489	10	protein_coding
ENSG00000095380	ENST00000210444	ENSE00003460525	6	protein_coding
ENSG00000156711	ENST00000211287	ENSE00002279320	12	protein_coding
ENSG00000096092	ENST00000211314	ENSE00001015281	5	protein_coding
ENSG00000035403	ENST00000211998	ENSE00001765583	22	protein_coding
ENSG00000096717	ENST00000212015	ENSE00001562862	9	protein_coding
ENSG00000069702	ENST00000212355	ENSE00001452590	17	protein_coding
ENSG00000099203	ENST00000214869	ENSE00000888260	4	protein_coding
ENSG00000099219	ENST00000214893	ENSE00001027573	14	processed_transcript
ENSG00000099341	ENST00000215071	ENSE00001057934	7	protein_coding
ENSG00000099365	ENST00000215095	ENSE00001234884	10	protein_coding
ENSG00000099385	ENST00000215115	ENSE00001148672	6	protein_coding
ENSG00000099795	ENST00000215565	ENSE00003526432	3	protein_coding
ENSG00000099797	ENST00000215567	ENSE00003850515	13	protein_coding
ENSG00000099800	ENST00000215570	ENSE00001052192	3	protein_coding
ENSG00000099804	ENST00000215574	ENSE00000655680	5	protein_coding
ENSG00000099860	ENST00000215631	ENSE00001433290	4	protein_coding
ENSG00000188130	ENST00000215659	ENSE00003851007	12	protein_coding
ENSG00000099940	ENST00000215730	ENSE00001315626	5	protein_coding
ENSG00000240972	ENST00000215754	ENSE00001839840	3	protein_coding
ENSG00000099974	ENST00000215770	ENSE00001493396	3	protein_coding
ENSG00000099995	ENST00000215793	ENSE00001701490	16	protein_coding
ENSG00000184979	ENST00000215794	ENSE00001371235	11	protein_coding
ENSG00000100028	ENST00000215829	ENSE00001402429	4	protein_coding
ENSG00000100030	ENST00000215832	ENSE00001857706	9	protein_coding
ENSG00000133422	ENST00000215862	ENSE00001599797	27	protein_coding
ENSG00000100075	ENST00000215882	ENSE00001637785	9	protein_coding
ENSG00000241360	ENST00000215904	ENSE00001788029	2	protein_coding
ENSG00000128203	ENST00000215906	ENSE00001836395	4	protein_coding
ENSG00000100104	ENST00000215917	ENSE00001316858	7	protein_coding
ENSG00000100124	ENST00000215941	ENSE00001932625	8	protein_coding
ENSG00000100138	ENST00000215956	ENSE00003838638	3	protein_coding
ENSG00000100139	ENST00000215957	ENSE00001938298	16	protein_coding
ENSG00000100162	ENST00000215980	ENSE00003566646	6	protein_coding
ENSG00000100196	ENST00000216014	ENSE00001122832	5	protein_coding
ENSG00000100201	ENST00000216019	ENSE00001919305	12	retained_intron
ENSG00000100216	ENST00000216034	ENSE00000880315	4	protein_coding
ENSG00000100219	ENST00000216037	ENSE00001847157	5	protein_coding
ENSG00000100220	ENST00000216038	ENSE00000879969	12	protein_coding
ENSG00000100221	ENST00000216039	ENSE00001122538	4	protein_coding
ENSG00000100226	ENST00000216044	ENSE00001379047	12	protein_coding
ENSG00000100239	ENST00000216061	ENSE00001367377	25	protein_coding
ENSG00000100246	ENST00000216068	ENSE00001048120	4	protein_coding
ENSG00000184117	ENST00000216121	ENSE00001309149	10	protein_coding
ENSG00000100297	ENST00000216122	ENSE00001883977	17	protein_coding
ENSG00000100299	ENST00000216124	ENSE00003845710	8	protein_coding
ENSG00000100304	ENST00000216129	ENSE00001670000	14	protein_coding
ENSG00000100307	ENST00000216133	ENSE00001299764	6	protein_coding
ENSG00000100316	ENST00000216146	ENSE00001555640	10	protein_coding
ENSG00000100324	ENST00000216160	ENSE00001109364	11	protein_coding
ENSG00000100344	ENST00000216180	ENSE00000656929	9	protein_coding
ENSG00000100345	ENST00000216181	ENSE00001230540	41	protein_coding
ENSG00000100348	ENST00000216185	ENSE00001706774	4	protein_coding
ENSG00000100353	ENST00000216190	ENSE00000880068	15	protein_coding
ENSG00000239900	ENST00000216194	ENSE00001838342	13	protein_coding
ENSG00000100380	ENST00000216218	ENSE00000880425	12	protein_coding
ENSG00000100387	ENST00000216225	ENSE00001814441	5	protein_coding
ENSG00000100395	ENST00000216237	ENSE00003692834	17	protein_coding
ENSG00000100410	ENST00000216252	ENSE00001202354	4	protein_coding
ENSG00000100417	ENST00000216259	ENSE00001830264	8	protein_coding
ENSG00000100422	ENST00000216264	ENSE00001227137	13	protein_coding
ENSG00000100426	ENST00000216268	ENSE00000657465	2	protein_coding
ENSG00000090060	ENST00000216277	ENSE00001375853	22	protein_coding
ENSG00000080824	ENST00000216281	ENSE00001784253	11	protein_coding
ENSG00000087303	ENST00000216286	ENSE00003845866	22	protein_coding
ENSG00000075413	ENST00000216288	ENSE00002504024	16	protein_coding
ENSG00000023608	ENST00000216294	ENSE00001206892	10	protein_coding
ENSG00000092201	ENST00000216297	ENSE00000889083	26	protein_coding
ENSG00000100473	ENST00000216361	ENSE00001956683	11	protein_coding
ENSG00000100478	ENST00000216366	ENSE00001271209	6	protein_coding
ENSG00000100479	ENST00000216367	ENSE00001093667	19	protein_coding
ENSG00000100485	ENST00000216373	ENSE00001174956	23	protein_coding
ENSG00000100490	ENST00000216378	ENSE00002161548	9	protein_coding
ENSG00000100504	ENST00000216392	ENSE00002201324	20	protein_coding
ENSG00000100522	ENST00000216410	ENSE00001255438	6	protein_coding
ENSG00000100528	ENST00000216416	ENSE00003729427	5	protein_coding
ENSG00000100532	ENST00000216420	ENSE00000657572	6	protein_coding
ENSG00000100554	ENST00000216442	ENSE00003846815	9	protein_coding
ENSG00000100564	ENST00000216452	ENSE00001168371	4	protein_coding
ENSG00000100567	ENST00000216455	ENSE00003844789	11	protein_coding
ENSG00000100568	ENST00000216456	ENSE00002494402	7	nonsense_mediated_decay
ENSG00000100580	ENST00000216468	ENSE00001231326	6	protein_coding
ENSG00000100583	ENST00000216471	ENSE00000659304	3	protein_coding
ENSG00000100591	ENST00000216479	ENSE00002518265	9	protein_coding
ENSG00000100596	ENST00000216484	ENSE00001202072	12	protein_coding
ENSG00000100601	ENST00000216489	ENSE00001158423	6	protein_coding
ENSG00000100625	ENST00000216513	ENSE00000658203	3	protein_coding
ENSG00000100652	ENST00000216540	ENSE00000807857	5	protein_coding
ENSG00000100664	ENST00000216554	ENSE00001026216	12	protein_coding
ENSG00000100823	ENST00000216714	ENSE00002441263	5	protein_coding
ENSG00000100836	ENST00000216727	ENSE00001099644	7	protein_coding
ENSG00000100865	ENST00000216756	ENSE00002502170	5	protein_coding
ENSG00000100883	ENST00000216774	ENSE00003891480	16	protein_coding
ENSG00000100889	ENST00000216780	ENSE00003894179	10	protein_coding
ENSG00000100906	ENST00000216797	ENSE00000889712	6	protein_coding
ENSG00000100908	ENST00000216799	ENSE00000889357	6	protein_coding
ENSG00000100911	ENST00000216802	ENSE00003609654	11	protein_coding
ENSG00000100916	ENST00000216807	ENSE00001280291	10	protein_coding
ENSG00000100941	ENST00000216832	ENSE00000889803	9	protein_coding
ENSG00000100949	ENST00000216840	ENSE00003584936	17	protein_coding
ENSG00000132670	ENST00000216877	ENSE00002583658	23	protein_coding
ENSG00000088833	ENST00000216879	ENSE00003542145	9	protein_coding
ENSG00000100994	ENST00000216962	ENSE00001860485	20	protein_coding
ENSG00000101000	ENST00000216968	ENSE00000860180	4	protein_coding
ENSG00000101057	ENST00000217026	ENSE00001660340	14	protein_coding
ENSG00000101138	ENST00000217109	ENSE00003657539	6	protein_coding
ENSG00000101190	ENST00000217162	ENSE00001350711	6	protein_coding
ENSG00000101255	ENST00000217233	ENSE00001905749	4	protein_coding
ENSG00000101266	ENST00000217244	ENSE00003819107	14	protein_coding
ENSG00000101292	ENST00000217270	ENSE00000658177	2	protein_coding
ENSG00000101311	ENST00000217289	ENSE00003464971	15	protein_coding
ENSG00000101400	ENST00000217381	ENSE00001952368	8	protein_coding
ENSG00000101421	ENST00000217402	ENSE00001288764	5	protein_coding
ENSG00000101444	ENST00000217426	ENSE00001820276	10	protein_coding
ENSG00000101464	ENST00000217446	ENSE00001414279	12	protein_coding
ENSG00000101474	ENST00000217456	ENSE00001635368	9	protein_coding
ENSG00000091164	ENST00000217515	ENSE00001106452	8	protein_coding
ENSG00000101608	ENST00000217652	ENSE00001162437	4	protein_coding
ENSG00000101695	ENST00000217740	ENSE00001279677	6	protein_coding
ENSG00000101751	ENST00000217800	ENSE00002693409	9	protein_coding
ENSG00000273841	ENST00000217893	ENSE00002024534	3	protein_coding
ENSG00000067829	ENST00000217901	ENSE00001936970	13	protein_coding
ENSG00000101843	ENST00000217958	ENSE00001764642	5	protein_coding
ENSG00000101856	ENST00000217971	ENSE00001037750	3	protein_coding
ENSG00000101972	ENST00000218089	ENSE00001518641	35	protein_coding
ENSG00000102057	ENST00000218176	ENSE00001841325	6	protein_coding
ENSG00000102109	ENST00000218230	ENSE00001958719	3	protein_coding
ENSG00000086758	ENST00000218328	ENSE00001794477	41	processed_transcript
ENSG00000102218	ENST00000218340	ENSE00001093037	5	protein_coding
ENSG00000102241	ENST00000218364	ENSE00001305625	9	protein_coding
ENSG00000102265	ENST00000218388	ENSE00001472498	6	protein_coding
ENSG00000102309	ENST00000218432	ENSE00001826809	3	protein_coding
ENSG00000102393	ENST00000218516	ENSE00003554033	7	protein_coding
ENSG00000006194	ENST00000219069	ENSE00000830618	6	protein_coding
ENSG00000087245	ENST00000219070	ENSE00001931477	13	protein_coding
ENSG00000091651	ENST00000219097	ENSE00001203166	7	protein_coding
ENSG00000125149	ENST00000219139	ENSE00001206378	16	protein_coding
ENSG00000102898	ENST00000219169	ENSE00000844250	5	protein_coding
ENSG00000102931	ENST00000219204	ENSE00001306775	6	protein_coding
ENSG00000102967	ENST00000219240	ENSE00002320279	9	protein_coding
ENSG00000102978	ENST00000219252	ENSE00001415827	9	protein_coding
ENSG00000102996	ENST00000219271	ENSE00000852984	10	protein_coding
ENSG00000103005	ENST00000219281	ENSE00001242676	7	protein_coding
ENSG00000103021	ENST00000219299	ENSE00001860360	9	protein_coding
ENSG00000103024	ENST00000219302	ENSE00002607212	5	protein_coding
ENSG00000103035	ENST00000219313	ENSE00000874845	7	protein_coding
ENSG00000103037	ENST00000219315	ENSE00001655755	8	protein_coding
ENSG00000103064	ENST00000219343	ENSE00001628262	11	protein_coding
ENSG00000103066	ENST00000219345	ENSE00002581068	6	protein_coding
ENSG00000103121	ENST00000219400	ENSE00003620751	4	protein_coding
ENSG00000242173	ENST00000219409	ENSE00001679980	6	protein_coding
ENSG00000103160	ENST00000219439	ENSE00002590467	6	protein_coding
ENSG00000103194	ENST00000219473	ENSE00002628140	14	protein_coding
ENSG00000103199	ENST00000219478	ENSE00002903692	6	protein_coding
ENSG00000103202	ENST00000219479	ENSE00001958819	5	protein_coding
ENSG00000103266	ENST00000219548	ENSE00002606823	7	protein_coding
ENSG00000103326	ENST00000219611	ENSE00003565812	14	protein_coding
ENSG00000103404	ENST00000219689	ENSE00001318477	16	protein_coding
ENSG00000103460	ENST00000219746	ENSE00002576203	7	protein_coding
ENSG00000103495	ENST00000219782	ENSE00003645526	6	protein_coding
ENSG00000103502	ENST00000219789	ENSE00001548141	6	protein_coding
ENSG00000103507	ENST00000219794	ENSE00002616272	12	protein_coding
ENSG00000103510	ENST00000219797	ENSE00002682252	11	protein_coding
ENSG00000103550	ENST00000219837	ENSE00002602627	5	protein_coding
ENSG00000174197	ENST00000219905	ENSE00001226373	24	protein_coding
ENSG00000103653	ENST00000220003	ENSE00001870511	13	protein_coding
ENSG00000103707	ENST00000220058	ENSE00001201066	9	protein_coding
ENSG00000103966	ENST00000220325	ENSE00000391391	6	protein_coding
ENSG00000104064	ENST00000220429	ENSE00001177617	9	protein_coding
ENSG00000104112	ENST00000220478	ENSE00002548153	12	protein_coding
ENSG00000104129	ENST00000220496	ENSE00000883925	11	protein_coding
ENSG00000104140	ENST00000220507	ENSE00001153781	3	protein_coding
ENSG00000104142	ENST00000220509	ENSE00000675656	5	protein_coding
ENSG00000104147	ENST00000220514	ENSE00000884003	5	protein_coding
ENSG00000104164	ENST00000220531	ENSE00001271125	5	protein_coding
ENSG00000012232	ENST00000220562	ENSE00001216918	7	protein_coding
ENSG00000079459	ENST00000220584	ENSE00001323254	8	protein_coding
ENSG00000123908	ENST00000220592	ENSE00002573500	19	protein_coding
ENSG00000076641	ENST00000220597	ENSE00001206828	9	protein_coding
ENSG00000104221	ENST00000220659	ENSE00001300861	4	protein_coding
ENSG00000104312	ENST00000220751	ENSE00001019097	11	protein_coding
ENSG00000104324	ENST00000220763	ENSE00001311391	8	protein_coding
ENSG00000104325	ENST00000220764	ENSE00002128622	10	protein_coding
ENSG00000104332	ENST00000220772	ENSE00002111007	3	protein_coding
ENSG00000104368	ENST00000220809	ENSE00003894645	14	protein_coding
ENSG00000129292	ENST00000220847	ENSE00002245625	20	protein_coding
ENSG00000104412	ENST00000220853	ENSE00002097848	11	protein_coding
ENSG00000104447	ENST00000220888	ENSE00001279055	6	protein_coding
ENSG00000104472	ENST00000220913	ENSE00001231189	3	protein_coding
ENSG00000104490	ENST00000220931	ENSE00002118231	4	protein_coding
ENSG00000104517	ENST00000220959	ENSE00002121640	59	protein_coding
ENSG00000104643	ENST00000221086	ENSE00001189960	10	protein_coding
ENSG00000104671	ENST00000221114	ENSE00002095991	7	protein_coding
ENSG00000104687	ENST00000221130	ENSE00002132314	13	protein_coding
ENSG00000104695	ENST00000221138	ENSE00002094460	7	protein_coding
ENSG00000104756	ENST00000221200	ENSE00000818559	12	protein_coding
ENSG00000077348	ENST00000221233	ENSE00000842445	6	protein_coding
ENSG00000006712	ENST00000221265	ENSE00001141439	14	protein_coding
ENSG00000256087	ENST00000221315	ENSE00001283222	5	protein_coding
ENSG00000128000	ENST00000221355	ENSE00000706382	6	protein_coding
ENSG00000104823	ENST00000221418	ENSE00003474781	10	protein_coding
ENSG00000104824	ENST00000221419	ENSE00003112366	13	protein_coding
ENSG00000104835	ENST00000221431	ENSE00003632737	16	protein_coding
ENSG00000104859	ENST00000221455	ENSE00003592336	21	protein_coding
ENSG00000104866	ENST00000221462	ENSE00002879226	13	protein_coding
ENSG00000104870	ENST00000221466	ENSE00003888717	7	protein_coding
ENSG00000104889	ENST00000221486	ENSE00003822247	8	protein_coding
ENSG00000104897	ENST00000221494	ENSE00000876645	9	protein_coding
ENSG00000104899	ENST00000221496	ENSE00000663841	5	protein_coding
ENSG00000104957	ENST00000221554	ENSE00001763365	10	protein_coding
ENSG00000104969	ENST00000221566	ENSE00000859580	12	protein_coding
ENSG00000179943	ENST00000221665	ENSE00000728079	3	protein_coding
ENSG00000105072	ENST00000221671	ENSE00001246928	9	protein_coding
ENSG00000105136	ENST00000221735	ENSE00001222603	5	protein_coding
ENSG00000105202	ENST00000221801	ENSE00003077582	9	protein_coding
ENSG00000105254	ENST00000221855	ENSE00003849507	6	protein_coding
ENSG00000105258	ENST00000221859	ENSE00003499853	6	protein_coding
