ensembl_gene_id	external_gene_name	chromosome_name
ENSG00000236490	TAPBP	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000135297	MTO1	6
ENSG00000115271	GCA	2
ENSG00000104904	OAZ1	19
ENSG00000124615	MOCS1	6
ENSG00000160131	VMA21	X
ENSG00000022267	FHL1	X
ENSG00000228867	NRM	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000112983	BRD8	5
ENSG00000143149	ALDH9A1	1
ENSG00000156697	UTP14A	X
ENSG00000213930	GALT	9
ENSG00000135316	SYNCRIP	6
ENSG00000128918	ALDH1A2	15
ENSG00000116030	SUMO1	2
ENSG00000110172	CHORDC1	11
ENSG00000118046	STK11	19
ENSG00000129250	KIF1C	17
ENSG00000071564	TCF3	19
ENSG00000228907	RNF5	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000116752	BCAS2	1
ENSG00000119048	UBE2B	5
ENSG00000102172	SMS	X
ENSG00000185379	RAD51D	17
ENSG00000061936	SFSWAP	12
ENSG00000130821	SLC6A8	X
ENSG00000089234	BRAP	12
ENSG00000158711	ELK4	1
ENSG00000140464	PML	15
ENSG00000006062	MAP3K14	17
ENSG00000112208	BAG2	6
ENSG00000108774	RAB5C	17
ENSG00000146242	TPBG	6
ENSG00000167110	GOLGA2	9
ENSG00000117266	CDK18	1
ENSG00000269343	ZNF587B	19
ENSG00000044446	PHKA2	X
ENSG00000117139	KDM5B	1
ENSG00000150687	PRSS23	11
ENSG00000229215	HLA-A	CHR_HSCHR6_MHC_APD_CTG1
ENSG00000062485	CS	12
ENSG00000136371	MTHFS	15
ENSG00000173801	JUP	17
ENSG00000108799	EZH1	17
ENSG00000159885	ZNF222	19
ENSG00000159593	NAE1	16
ENSG00000178386	ZNF223	19
ENSG00000107263	RAPGEF1	9
ENSG00000256294	ZNF225	19
ENSG00000185236	RAB11B	19
ENSG00000104164	BLOC1S6	15
ENSG00000178607	ERN1	17
ENSG00000078369	GNB1	1
ENSG00000114850	SSR3	3
ENSG00000132591	ERAL1	17
ENSG00000072571	HMMR	5
ENSG00000176903	PNMA1	14
ENSG00000145386	CCNA2	4
ENSG00000002822	MAD1L1	7
ENSG00000168291	PDHB	3
ENSG00000176102	CSTF3	11
ENSG00000185651	UBE2L3	22
ENSG00000232326	TAP2	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000167182	SP2	17
ENSG00000275349	SMN1	CHR_HSCHR5_1_CTG1_1
ENSG00000141522	ARHGDIA	17
ENSG00000161179	YDJC	22
ENSG00000205268	PDE7A	8
ENSG00000124214	STAU1	20
ENSG00000231925	TAPBP	6
ENSG00000206480	FLOT1	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000143801	PSEN2	1
ENSG00000165312	OTUD1	10
ENSG00000099783	HNRNPM	19
ENSG00000274047	SYNRG	CHR_HSCHR17_7_CTG4
ENSG00000122687	MRM2	7
ENSG00000225635	DDAH2	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000138166	DUSP5	10
ENSG00000108591	DRG2	17
ENSG00000148730	EIF4EBP2	10
ENSG00000080824	HSP90AA1	14
ENSG00000177125	ZBTB34	9
ENSG00000100749	VRK1	14
ENSG00000278741	ABR	CHR_HSCHR17_2_CTG2
ENSG00000224748	TAP1	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000115091	ACTR3	2
ENSG00000068366	ACSL4	X
ENSG00000091483	FH	1
ENSG00000038274	MAT2B	5
ENSG00000161011	SQSTM1	5
ENSG00000151348	EXT2	11
ENSG00000144713	RPL32	3
ENSG00000226417	CLIC1	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000174669	SLC29A2	11
ENSG00000092531	SNAP23	15
ENSG00000155868	MED7	5
ENSG00000112306	RPS12	6
ENSG00000080823	MOK	14
ENSG00000144712	CAND2	3
ENSG00000128656	CHN1	2
ENSG00000118503	TNFAIP3	6
ENSG00000167384	ZNF180	19
ENSG00000132824	SERINC3	20
ENSG00000141524	TMC6	17
ENSG00000167595	PROSER3	19
ENSG00000236104	ZBTB22	6
ENSG00000008294	SPAG9	17
ENSG00000265241	RBM8A	1
ENSG00000204149	AGAP6	10
ENSG00000120158	RCL1	9
ENSG00000155876	RRAGA	9
ENSG00000161013	MGAT4B	5
ENSG00000131779	PEX11B	1
ENSG00000173402	DAG1	3
ENSG00000103653	CSK	15
ENSG00000135801	TAF5L	1
ENSG00000115524	SF3B1	2
ENSG00000277649	TIMM22	CHR_HSCHR17_2_CTG2
ENSG00000227345	PARG	10
ENSG00000117620	SLC35A3	1
ENSG00000158050	DUSP2	2
ENSG00000099194	SCD	10
ENSG00000107719	PALD1	10
ENSG00000235307	BRD2	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000204209	DAXX	6
ENSG00000004975	DVL2	17
ENSG00000184117	NIPSNAP1	22
ENSG00000274429	DLG5	CHR_HSCHR10_1_CTG4
ENSG00000130816	DNMT1	19
ENSG00000113108	APBB3	5
ENSG00000150712	MTMR12	5
ENSG00000100296	THOC5	22
ENSG00000198604	BAZ1A	14
ENSG00000073008	PVR	19
ENSG00000128654	MTX2	2
ENSG00000145901	TNIP1	5
ENSG00000241296	HLA-DMB	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000112531	QKI	6
ENSG00000112473	SLC39A7	6
ENSG00000137486	ARRB1	11
ENSG00000100207	TCF20	22
ENSG00000132471	WBP2	17
ENSG00000151500	THYN1	11
ENSG00000187244	BCAM	19
ENSG00000100528	CNIH1	14
ENSG00000185813	PCYT2	17
ENSG00000178307	TMEM11	17
ENSG00000256525	POLG2	17
ENSG00000147140	NONO	X
ENSG00000267534	S1PR2	19
ENSG00000165119	HNRNPK	9
ENSG00000214753	HNRNPUL2	11
ENSG00000157869	RAB28	4
ENSG00000112493	TAPBP	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000160563	MED27	9
ENSG00000171720	HDAC3	5
ENSG00000132670	PTPRA	20
ENSG00000130202	NECTIN2	19
ENSG00000111641	NOP2	12
ENSG00000204228	HSD17B8	6
ENSG00000168734	PKIG	20
ENSG00000127990	SGCE	7
ENSG00000051620	HEBP2	6
ENSG00000100883	SRP54	14
ENSG00000086598	TMED2	12
ENSG00000130204	TOMM40	19
ENSG00000131504	DIAPH1	5
ENSG00000100299	ARSA	22
ENSG00000237649	KIFC1	6
ENSG00000083312	TNPO1	5
ENSG00000007944	MYLIP	6
ENSG00000130203	APOE	19
ENSG00000196839	ADA	20
ENSG00000130881	LRP3	19
ENSG00000130208	APOC1	19
ENSG00000206478	IER3	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000137198	GMPR	6
ENSG00000161970	RPL26	17
ENSG00000110651	CD81	11
ENSG00000104765	BNIP3L	8
ENSG00000182108	DEXI	16
ENSG00000108639	SYNGR2	17
ENSG00000235125	NFKBIL1	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000188878	FBF1	17
ENSG00000095066	HOOK2	19
ENSG00000104853	CLPTM1	19
ENSG00000231825	PRRC2A	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000137193	PIM1	6
ENSG00000245848	CEBPA	19
ENSG00000092964	DPYSL2	8
ENSG00000167900	TK1	17
ENSG00000229253	ZBTB22	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000226634	DDAH2	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000143067	ZNF697	1
ENSG00000232957	HLA-DOA	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000153879	CEBPG	19
ENSG00000034053	APBA2	15
ENSG00000167085	PHB	17
ENSG00000164414	SLC35A1	6
ENSG00000179604	CDC42EP4	17
ENSG00000167815	PRDX2	19
ENSG00000226826	HLA-DPB1	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000230685	CLIC1	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000240694	PNMA2	8
ENSG00000148158	SNX30	9
ENSG00000166224	SGPL1	10
ENSG00000104889	RNASEH2A	19
ENSG00000100116	GCAT	22
ENSG00000223980	HLA-A	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000100023	PPIL2	22
ENSG00000171223	JUNB	19
ENSG00000183684	ALYREF	17
ENSG00000236342	ABCF1	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000101365	IDH3B	20
ENSG00000172071	EIF2AK3	2
ENSG00000124299	PEPD	19
ENSG00000204227	RING1	6
ENSG00000184304	PRKD1	14
ENSG00000140988	RPS2	16
ENSG00000038358	EDC4	16
ENSG00000025796	SEC63	6
ENSG00000069188	SDK2	17
ENSG00000170364	SETMAR	3
ENSG00000227046	DAXX	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000117906	RCN2	15
ENSG00000104859	CLASRP	19
ENSG00000119408	NEK6	9
ENSG00000099956	SMARCB1	22
ENSG00000044115	CTNNA1	5
ENSG00000115541	HSPE1	2
ENSG00000132589	FLOT2	17
ENSG00000235773	NRM	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000139842	CUL4A	13
ENSG00000184500	PROS1	3
ENSG00000075624	ACTB	7
ENSG00000005436	GCFC2	2
ENSG00000172809	RPL38	17
ENSG00000198586	TLK1	2
ENSG00000081087	OSTM1	6
ENSG00000111642	CHD4	12
ENSG00000109685	NSD2	4
ENSG00000231618	PPT2	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000166483	WEE1	11
ENSG00000111962	UST	6
ENSG00000108654	DDX5	17
ENSG00000106268	NUDT1	7
ENSG00000055163	CYFIP2	5
ENSG00000115947	ORC4	2
ENSG00000173692	PSMD1	2
ENSG00000122512	PMS2	7
ENSG00000144381	HSPD1	2
ENSG00000105290	APLP1	19
ENSG00000121989	ACVR2A	2
ENSG00000165502	RPL36AL	14
ENSG00000114857	NKTR	3
ENSG00000168282	MGAT2	14
ENSG00000088367	EPB41L1	20
ENSG00000276910	GTF2H2	CHR_HSCHR5_1_CTG1_1
ENSG00000235758	AGPAT1	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000265972	TXNIP	1
ENSG00000108055	SMC3	10
ENSG00000065675	PRKCQ	10
ENSG00000106266	SNX8	7
ENSG00000100297	MCM5	22
ENSG00000089685	BIRC5	17
ENSG00000186432	KPNA4	3
ENSG00000106263	EIF3B	7
ENSG00000131171	SH3BGRL	X
ENSG00000257949	TEN1	17
ENSG00000101439	CST3	20
ENSG00000093183	SEC22C	3
ENSG00000100321	SYNGR1	22
ENSG00000104884	ERCC2	19
ENSG00000152137	HSPB8	12
ENSG00000103479	RBL2	16
ENSG00000106100	NOD1	7
ENSG00000161533	ACOX1	17
ENSG00000032444	PNPLA6	19
ENSG00000205138	SDHAF1	19
ENSG00000206418	RAB12	18
ENSG00000197063	MAFG	17
ENSG00000149930	TAOK2	16
ENSG00000106305	AIMP2	7
ENSG00000086232	EIF2AK1	7
ENSG00000100324	TAB1	22
ENSG00000156256	USP16	21
ENSG00000125740	FOSB	19
ENSG00000233348	BAG6	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000112335	SNX3	6
ENSG00000243678	NME2	17
ENSG00000277594	DDX52	CHR_HSCHR17_7_CTG4
ENSG00000104881	PPP1R13L	19
ENSG00000114650	SCAP	3
ENSG00000239672	NME1	17
ENSG00000117877	CD3EAP	19
ENSG00000012061	ERCC1	19
ENSG00000254986	DPP3	11
ENSG00000034152	MAP2K3	17
ENSG00000162909	CAPN2	1
ENSG00000093010	COMT	22
ENSG00000110422	HIPK3	11
ENSG00000170296	GABARAP	17
ENSG00000020426	MNAT1	14
ENSG00000076003	MCM6	2
ENSG00000113141	IK	5
ENSG00000100902	PSMA6	14
ENSG00000204713	TRIM27	6
ENSG00000128268	MGAT3	22
ENSG00000184470	TXNRD2	22
ENSG00000023734	STRAP	12
ENSG00000183891	TTC32	2
ENSG00000006634	DBF4	7
ENSG00000100979	PLTP	20
ENSG00000136717	BIN1	2
ENSG00000267673	FDX2	19
ENSG00000100030	MAPK1	22
ENSG00000133026	MYH10	17
ENSG00000114302	PRKAR2A	3
ENSG00000183010	PYCR1	17
ENSG00000235291	PPP1R10	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000076662	ICAM3	19
ENSG00000146067	FAM193B	5
ENSG00000168522	FNTA	8
ENSG00000096717	SIRT1	10
ENSG00000112511	PHF1	6
ENSG00000226384	GTF2H4	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000153147	SMARCA5	4
ENSG00000198807	PAX9	14
ENSG00000229861	MRPS18B	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000079974	RABL2B	22
ENSG00000118689	FOXO3	6
ENSG00000215522	DDR1	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000125744	RTN2	19
ENSG00000064601	CTSA	20
ENSG00000169902	TPST1	7
ENSG00000027847	B4GALT7	5
ENSG00000100038	TOP3B	22
ENSG00000167881	SRP68	17
ENSG00000262655	SPON1	11
ENSG00000151498	ACAD8	11
ENSG00000100479	POLE2	14
ENSG00000188130	MAPK12	22
ENSG00000185947	ZNF267	16
ENSG00000131495	NDUFA2	5
ENSG00000125753	VASP	19
ENSG00000132950	ZMYM5	13
ENSG00000165416	SUGT1	13
ENSG00000227314	MSH5	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000119185	ITGB1BP1	2
ENSG00000197045	GMFB	14
ENSG00000106070	GRB10	7
ENSG00000182985	CADM1	11
ENSG00000125746	EML2	19
ENSG00000166228	PCBD1	10
ENSG00000130962	PRRG1	X
ENSG00000125818	PSMF1	20
ENSG00000159792	PSKH1	16
ENSG00000106459	NRF1	7
ENSG00000026297	RNASET2	6
ENSG00000205220	PSMB10	16
ENSG00000125676	THOC2	X
ENSG00000105612	DNASE2	19
ENSG00000075618	FSCN1	7
ENSG00000054611	TBC1D22A	22
ENSG00000165169	DYNLT3	X
ENSG00000186897	C1QL4	12
ENSG00000205707	ETFRF1	12
ENSG00000135336	ORC3	6
ENSG00000184058	TBX1	22
ENSG00000156298	TSPAN7	X
ENSG00000133703	KRAS	12
ENSG00000150779	TIMM8B	11
ENSG00000117394	SLC2A1	1
ENSG00000150768	DLAT	11
ENSG00000116044	NFE2L2	2
ENSG00000100823	APEX1	14
ENSG00000163781	TOPBP1	3
ENSG00000166136	NDUFB8	10
ENSG00000099889	ARVCF	22
ENSG00000146729	NIPSNAP2	7
ENSG00000168243	GNG4	1
ENSG00000121691	CAT	11
ENSG00000144021	CIAO1	2
ENSG00000105220	GPI	19
ENSG00000123992	DNPEP	2
ENSG00000105607	GCDH	19
ENSG00000105258	POLR2I	19
ENSG00000124222	STX16	20
ENSG00000000419	DPM1	20
ENSG00000159352	PSMD4	1
ENSG00000105254	TBCB	19
ENSG00000240972	MIF	22
ENSG00000135451	TROAP	12
ENSG00000186625	KATNA1	6
ENSG00000166888	STAT6	12
ENSG00000120063	GNA13	17
ENSG00000143514	TP53BP2	1
ENSG00000171700	RGS19	20
ENSG00000109220	CHIC2	4
ENSG00000221974	GTF2H4	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000100532	CGRRF1	14
ENSG00000085719	CPNE3	8
ENSG00000164163	ABCE1	4
ENSG00000070018	LRP6	12
ENSG00000140992	PDPK1	16
ENSG00000148335	NTMT1	9
ENSG00000234046	TRIM26	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000163832	ELP6	3
ENSG00000111361	EIF2B1	12
ENSG00000050748	MAPK9	5
ENSG00000229396	DAXX	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000049323	LTBP1	2
ENSG00000111358	GTF2H3	12
ENSG00000104671	DCTN6	8
ENSG00000233450	KIFC1	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000087274	ADD1	4
ENSG00000100650	SRSF5	14
ENSG00000128272	ATF4	22
ENSG00000126247	CAPNS1	19
ENSG00000125743	SNRPD2	19
ENSG00000133818	RRAS2	11
ENSG00000139651	ZNF740	12
ENSG00000070718	AP3M2	8
ENSG00000213066	FGFR1OP	6
ENSG00000049860	HEXB	5
ENSG00000136867	SLC31A2	9
ENSG00000177051	FBXO46	19
ENSG00000149929	HIRIP3	16
ENSG00000130294	KIF1A	2
ENSG00000104936	DMPK	19
ENSG00000101608	MYL12A	18
ENSG00000108669	CYTH1	17
ENSG00000070831	CDC42	1
ENSG00000225553	PHF1	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000186591	UBE2H	7
ENSG00000080546	SESN1	6
ENSG00000145555	MYO10	5
ENSG00000136868	SLC31A1	9
ENSG00000167635	ZNF146	19
ENSG00000187097	ENTPD5	14
ENSG00000143393	PI4KB	1
ENSG00000126261	UBA2	19
ENSG00000273793	DUSP8	CHR_HSCHR11_1_CTG6
ENSG00000114646	CSPG5	3
ENSG00000178537	SLC25A20	3
ENSG00000023330	ALAS1	3
ENSG00000121067	SPOP	17
ENSG00000130640	TUBGCP2	10
ENSG00000232280	FLOT1	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000004455	AK2	1
ENSG00000115944	COX7A2L	2
ENSG00000185800	DMWD	19
ENSG00000138802	SEC24B	4
ENSG00000162407	PLPP3	1
ENSG00000122729	ACO1	9
ENSG00000109332	UBE2D3	4
ENSG00000138757	G3BP2	4
ENSG00000078269	SYNJ2	6
ENSG00000106615	RHEB	7
ENSG00000125755	SYMPK	19
