ENSEMBL Gene ID	Gene symbol	siUPF1LL vs NT log2(fold change)	False discovery rate (FDR)
ENSG00000011021	CLCN6	0.253847851	0.026025794
ENSG00000011028	MRC2	0.395160092	6.42841E-05
ENSG00000011105	TSPAN9	0.289497496	0.01259521
ENSG00000011114	BTBD7	0.783828231	1.09E-08
ENSG00000011132	APBA3	0.449351495	0.000609124
ENSG00000011143	MKS1	0.209969338	0.035668795
ENSG00000011198	ABHD5	-0.10465015	0.264659069
ENSG00000011243	AKAP8L	-0.086032659	0.241902039
ENSG00000011258	MBTD1	0.028501336	0.830698093
ENSG00000011260	UTP18	-0.705753904	3.65E-09
ENSG00000011275	RNF216	-0.152200538	0.012972812
ENSG00000011295	TTC19	-0.356482093	4.64398E-05
ENSG00000011304	PTBP1	-0.254538039	2.92496E-05
ENSG00000011332	DPF1	0.384945881	0.001021494
ENSG00000011347	SYT7	0.599919611	0.001357796
ENSG00000011376	LARS2	-0.482035316	3.79E-08
ENSG00000011405	PIK3C2A	-0.135173413	0.021261467
ENSG00000011422	PLAUR	0.63103688	0.000445251
ENSG00000011426	ANLN	-0.331142586	1.30E-06
ENSG00000011451	WIZ	0.251652363	0.001585197
ENSG00000011454	RABGAP1	0.352033914	2.21741E-05
ENSG00000011478	QPCTL	-0.46980123	0.001333991
ENSG00000011485	PPP5C	-0.199186764	0.003272874
ENSG00000011523	CEP68	-0.123594868	0.110869732
ENSG00000011566	MAP4K3	0.329485878	0.000123125
ENSG00000011638	TMEM159	0.537621676	0.000222237
ENSG00000012048	BRCA1	-0.237538548	0.001398253
ENSG00000012061	ERCC1	-0.221153232	0.010791393
ENSG00000012174	MBTPS2	-0.598052655	1.90E-06
ENSG00000012211	PRICKLE3	0.265160737	0.176682048
ENSG00000012232	EXTL3	0.432330045	1.09E-06
ENSG00000012660	ELOVL5	-0.686999735	4.51E-09
ENSG00000012822	CALCOCO1	0.315986567	0.00034532
ENSG00000012963	UBR7	-0.361033901	9.16E-06
ENSG00000012983	MAP4K5	-0.204475483	0.005741922
ENSG00000013016	EHD3	-0.482572375	4.82035E-05
ENSG00000013275	PSMC4	0.033333122	0.531166174
ENSG00000013288	MAN2B2	0.747179786	6.62E-07
ENSG00000013306	SLC25A39	0.212349311	0.000956845
ENSG00000013364	MVP	0.215816029	0.297167219
ENSG00000013374	NUB1	-0.229955103	0.000325249
ENSG00000013375	PGM3	0.038154755	0.561677162
ENSG00000013392	RWDD2A	0.083877844	0.700757342
ENSG00000013441	CLK1	-0.164623081	0.034611066
ENSG00000013503	POLR3B	-0.522538548	8.95E-07
ENSG00000013523	ANGEL1	-0.386229492	4.08E-06
ENSG00000013561	RNF14	0.032712735	0.595185544
ENSG00000013563	DNASE1L1	-0.425135353	0.001622064
ENSG00000013573	DDX11	0.082638001	0.31728242
ENSG00000013583	HEBP1	-0.323413865	0.158503399
ENSG00000013588	GPRC5A	-0.107320026	0.474164481
ENSG00000013810	TACC3	-0.008854336	0.929950088
ENSG00000014123	UFL1	-0.441697777	1.41431E-05
ENSG00000014138	POLA2	-0.282095396	0.000174917
ENSG00000014164	ZC3H3	0.148759285	0.215718007
ENSG00000014216	CAPN1	0.463333182	4.45E-07
ENSG00000014641	MDH1	-0.288756151	4.45321E-05
ENSG00000014824	SLC30A9	-0.141132719	0.031367522
ENSG00000014914	MTMR11	1.316871402	0.000024185
ENSG00000014919	COX15	0.038086774	0.531223725
ENSG00000015133	CCDC88C	0.235003904	0.008900184
ENSG00000015153	YAF2	-0.672934387	5.94541E-05
ENSG00000015171	ZMYND11	-0.054676874	0.39988455
ENSG00000015475	BID	0.310472795	0.000185369
ENSG00000015479	MATR3	-0.294548326	9.97E-06
ENSG00000015532	XYLT2	0.491030269	8.00E-06
ENSG00000015568	RGPD5	-0.480177538	0.003658495
ENSG00000015676	NUDCD3	-0.123608221	0.040510943
ENSG00000016391	CHDH	-0.838039565	3.43E-09
ENSG00000016864	GLT8D1	-0.059136603	0.439302407
ENSG00000017260	ATP2C1	-0.290204785	0.000330689
ENSG00000017373	SRCIN1	0.649880181	0.000391161
ENSG00000017621	MAGIX	0.093163764	0.736358194
ENSG00000017797	RALBP1	-0.001737736	0.97961726
ENSG00000018189	RUFY3	0.506134637	1.72E-06
ENSG00000018236	CNTN1	0.541760585	2.31E-06
ENSG00000018408	WWTR1	-0.326488091	0.011488155
ENSG00000018510	AGPS	-1.01413036	4.18E-11
ENSG00000018610	CXorf56	-0.373900239	1.96E-06
ENSG00000018699	TTC27	-0.420524228	3.48337E-05
ENSG00000018869	ZNF582	-0.972934093	0.000164561
ENSG00000019144	PHLDB1	0.585343712	4.91E-06
ENSG00000019485	PRDM11	-1.195491405	5.8248E-06
ENSG00000019995	ZRANB1	0.333172033	3.80621E-05
ENSG00000020129	NCDN	-0.444821297	2.37E-06
ENSG00000020181	GPR124	0.641743638	4.44826E-05
ENSG00000020256	ZFP64	-0.274107449	0.000307817
ENSG00000020426	MNAT1	0.048858218	0.527596638
ENSG00000020577	SAMD4A	-0.290185655	0.026387144
ENSG00000020922	MRE11A	-0.101099483	0.153379561
ENSG00000021300	PLEKHB1	1.252225324	7.00E-10
ENSG00000021355	SERPINB1	0.233438871	0.038880788
ENSG00000021574	SPAST	-0.298685523	0.002196546
ENSG00000021645	NRXN3	0.780524963	5.55E-06
ENSG00000021762	OSBPL5	0.1481513	0.330059468
ENSG00000021776	AQR	-0.108442828	0.062342872
ENSG00000021826	CPS1	-1.039003477	9.13E-10
ENSG00000022267	FHL1	0.20766707	0.000699081
ENSG00000022277	RTFDC1	-0.047022624	0.457241557
ENSG00000022567	SLC45A4	0.536503147	2.87052E-05
ENSG00000022840	RNF10	0.203048123	0.000921186
ENSG00000022976	ZNF839	-0.360503322	0.000565615
ENSG00000023041	ZDHHC6	-0.043517378	0.620967899
ENSG00000023171	GRAMD1B	0.273011307	0.022024431
ENSG00000023191	RNH1	-0.245107599	0.000759118
ENSG00000023228	NDUFS1	0.059581954	0.24934637
ENSG00000023287	RB1CC1	-0.022245664	0.754903057
ENSG00000023318	ERP44	0.258785976	0.000317009
ENSG00000023330	ALAS1	0.52130437	7.64E-08
ENSG00000023445	BIRC3	-0.083065518	0.816305828
ENSG00000023516	AKAP11	-0.859742865	1.31E-09
ENSG00000023572	GLRX2	0.022799978	0.811507775
ENSG00000023608	SNAPC1	0.121800889	0.235745964
ENSG00000023697	DERA	0.117640301	0.146186849
ENSG00000023734	STRAP	-0.275664898	1.76991E-05
ENSG00000023839	ABCC2	-0.224488678	0.54384676
ENSG00000023902	PLEKHO1	0.617688003	7.33E-08
ENSG00000023909	GCLM	0.6085502	6.12135E-05
ENSG00000024048	UBR2	0.031808958	0.592652595
ENSG00000024526	DEPDC1	-0.154788439	0.029911238
ENSG00000024862	CCDC28A	-0.163038696	0.113486144
ENSG00000025039	RRAGD	0.1416084	0.040908913
ENSG00000025156	HSF2	0.020203599	0.786799402
ENSG00000025293	PHF20	-0.290640382	0.001547039
ENSG00000025423	HSD17B6	-1.06785168	8.90366E-05
ENSG00000025434	NR1H3	0.343466985	0.016652546
ENSG00000025708	TYMP	-0.185009813	0.335431271
ENSG00000025770	NCAPH2	0.120037603	0.089691801
ENSG00000025772	TOMM34	-0.406697539	4.65E-06
ENSG00000025796	SEC63	-0.152814732	0.140517441
ENSG00000025800	KPNA6	-0.228899636	9.58861E-05
ENSG00000026025	VIM	-0.318092883	3.35E-06
ENSG00000026036	RTEL1-TNFRSF6B	0.104524978	0.706314095
ENSG00000026103	FAS	1.402853044	2.78E-08
ENSG00000026297	RNASET2	0.030899816	0.734318401
ENSG00000026559	KCNG1	-0.614498321	8.33584E-05
ENSG00000026652	AGPAT4	-0.225188011	0.02437635
ENSG00000026950	BTN3A1	1.099341288	3.29E-07
ENSG00000027001	MIPEP	-0.607978627	1.50E-06
ENSG00000027075	PRKCH	0.169148092	0.080028222
ENSG00000027697	IFNGR1	-0.40712045	5.47E-06
ENSG00000027847	B4GALT7	-0.0283702	0.734538149
ENSG00000028116	VRK2	-0.515205256	5.34865E-05
ENSG00000028203	VEZT	0.330888579	1.32991E-05
ENSG00000028310	BRD9	-0.194870356	0.029801687
ENSG00000028528	SNX1	0.211152091	0.024911579
ENSG00000028839	TBPL1	-0.07793448	0.300255132
ENSG00000029153	ARNTL2	-0.413626373	2.26692E-05
ENSG00000029363	BCLAF1	-0.166349036	0.00173151
ENSG00000029364	SLC39A9	0.504402152	1.22E-08
ENSG00000029534	ANK1	0.970083827	0.000216083
ENSG00000029639	TFB1M	-0.51176929	1.36626E-05
ENSG00000029725	RABEP1	0.054107803	0.336095853
ENSG00000029993	HMGB3	-0.306095841	1.12378E-05
ENSG00000030066	NUP160	-0.540281443	2.06E-08
ENSG00000030110	BAK1	0.107187847	0.203172949
ENSG00000030419	IKZF2	0.864963501	7.23538E-05
ENSG00000030582	GRN	0.713705193	8.07E-10
ENSG00000031003	FAM13B	0.789656969	1.97E-09
ENSG00000031081	ARHGAP31	-0.425391017	0.024222486
ENSG00000031691	CENPQ	-0.410162748	0.000806421
ENSG00000031698	SARS	-0.466143642	1.89E-08
ENSG00000031823	RANBP3	-0.28782372	4.92318E-05
ENSG00000032219	ARID4A	0.323591721	0.001679859
ENSG00000032389	TSSC1	-0.300346548	0.001329153
ENSG00000032444	PNPLA6	0.377193651	0.000215271
ENSG00000032742	IFT88	-0.470638681	0.000314591
ENSG00000033011	ALG1	-0.147722129	0.094377402
ENSG00000033030	ZCCHC8	-0.093751664	0.196819374
ENSG00000033050	ABCF2	-0.387866099	1.21E-07
ENSG00000033100	CHPF2	0.321285707	0.000050409
ENSG00000033170	FUT8	-0.12753979	0.118716454
ENSG00000033178	UBA6	-0.077746147	0.176142255
ENSG00000033327	GAB2	0.958149086	4.09E-07
ENSG00000033627	ATP6V0A1	0.382932932	6.55E-06
ENSG00000033800	PIAS1	0.130927975	0.066675239
ENSG00000033867	SLC4A7	-1.164275239	7.08E-11
ENSG00000034053	APBA2	0.067715313	0.362746985
ENSG00000034063	UHRF1	0.247066595	0.000978696
ENSG00000034152	MAP2K3	-0.14303278	0.241914042
ENSG00000034510	TMSB10	0.047286602	0.389898157
ENSG00000034533	ASTE1	-0.120486778	0.187710533
ENSG00000034677	RNF19A	0.023847625	0.775138342
ENSG00000034693	PEX3	-0.277599659	0.000443392
ENSG00000034713	GABARAPL2	0.060533417	0.325604711
ENSG00000035115	SH3YL1	0.50143268	0.001874153
ENSG00000035141	FAM136A	-1.171870023	2.95E-12
ENSG00000035403	VCL	0.361138561	6.60E-07
ENSG00000035499	DEPDC1B	-0.47529347	6.72E-06
ENSG00000035681	NSMAF	-0.167874953	0.035337192
ENSG00000035687	ADSS	-0.436696746	8.68E-07
ENSG00000035862	TIMP2	0.525996806	2.89443E-05
ENSG00000035928	RFC1	-0.478459397	8.02E-08
ENSG00000036054	TBC1D23	0.148784146	0.035226917
ENSG00000036257	CUL3	-0.060413039	0.290126872
ENSG00000036448	MYOM2	-1.449784275	1.24E-06
ENSG00000036549	ZZZ3	-0.547566673	1.55E-08
ENSG00000036672	USP2	-0.211393375	0.103796455
ENSG00000037042	TUBG2	0.207284653	0.162220843
ENSG00000037241	RPL26L1	0.129250351	0.046018714
ENSG00000037280	FLT4	0.13671069	0.074792901
ENSG00000037474	NSUN2	-0.54097835	8.69E-09
ENSG00000037637	FBXO42	-0.173172738	0.017219031
ENSG00000037749	MFAP3	-0.908764469	3.03E-10
ENSG00000037757	MRI1	-0.355367295	3.50998E-05
ENSG00000037897	METTL1	-0.859978127	2.12E-06
ENSG00000037965	HOXC8	0.016592441	0.918816291
ENSG00000038002	AGA	0.202630602	0.060131994
ENSG00000038210	PI4K2B	-0.755116325	4.17E-07
ENSG00000038219	BOD1L1	-0.055440461	0.498277964
ENSG00000038274	MAT2B	-0.200895991	0.011059756
ENSG00000038358	EDC4	-0.148396291	0.010368859
ENSG00000038382	TRIO	0.42696611	1.27E-06
ENSG00000038427	VCAN	0.930065398	3.86E-11
ENSG00000038532	CLEC16A	0.097257845	0.197054597
ENSG00000039068	CDH1	0.493727292	0.024608655
ENSG00000039123	SKIV2L2	-0.265955927	6.53702E-05
ENSG00000039319	ZFYVE16	0.50010387	3.86E-07
ENSG00000039523	FAM65A	0.016521692	0.916117429
ENSG00000039560	RAI14	-0.07518346	0.221948733
ENSG00000039650	PNKP	0.242417531	0.017503244
ENSG00000040199	PHLPP2	-1.072182237	4.02E-10
ENSG00000040275	SPDL1	-0.480956937	7.85E-08
ENSG00000040341	STAU2	0.271206275	0.000637291
ENSG00000040487	PQLC2	0.338365813	0.001744071
ENSG00000040531	CTNS	0.299624135	0.001537976
ENSG00000040608	RTN4R	0.624337478	0.001393935
ENSG00000040633	PHF23	-0.118878415	0.085198565
ENSG00000040933	INPP4A	0.417958081	5.41E-06
ENSG00000041357	PSMA4	0.140250928	0.006239809
ENSG00000041802	LSG1	-0.259859877	8.54431E-05
ENSG00000041880	PARP3	0.185264779	0.234570311
ENSG00000041982	TNC	-0.388424203	0.080657431
ENSG00000041988	THAP3	0.17449868	0.060602277
ENSG00000042088	TDP1	-0.225492286	0.010217777
ENSG00000042286	AIFM2	1.430161228	7.28E-08
ENSG00000042317	SPATA7	0.092199475	0.5098739
ENSG00000042429	MED17	0.007954813	0.9161864
ENSG00000042445	RETSAT	0.731468409	9.06E-08
ENSG00000042493	CAPG	-0.544639594	0.008136811
ENSG00000042753	AP2S1	-0.123548836	0.096481875
ENSG00000043039	BARX2	0.419407648	0.018170835
ENSG00000043093	DCUN1D1	0.143484527	0.140565534
ENSG00000043143	JADE2	0.432032974	0.034281396
ENSG00000043355	ZIC2	-0.175114061	0.013510042
ENSG00000043514	TRIT1	0.13283472	0.104872176
ENSG00000044090	CUL7	0.336730101	0.000490541
ENSG00000044115	CTNNA1	0.069411858	0.143724667
ENSG00000044446	PHKA2	-0.005221774	0.959551401
ENSG00000044459	CNTLN	-0.190320347	0.015420881
ENSG00000044524	EPHA3	0.195532176	0.01589521
ENSG00000044574	HSPA5	-0.144238329	0.141677989
ENSG00000046604	DSG2	-0.30968313	3.71919E-05
ENSG00000046647	GEMIN8	-0.120811235	0.315816137
ENSG00000046651	OFD1	0.046530177	0.575167583
ENSG00000046653	GPM6B	-0.780666441	5.79E-08
ENSG00000046889	PREX2	0.023051848	0.852406234
ENSG00000047056	WDR37	-0.729766814	1.17344E-05
ENSG00000047188	YTHDC2	-0.197912018	0.005475074
ENSG00000047230	CTPS2	-0.285167924	0.000515739
ENSG00000047249	ATP6V1H	-0.039127712	0.552167051
ENSG00000047315	POLR2B	-0.167403297	0.00322048
ENSG00000047346	FAM214A	0.439176301	0.00174074
ENSG00000047365	ARAP2	0.649708792	4.93E-07
ENSG00000047410	TPR	-0.376242578	3.43E-07
ENSG00000047578	KIAA0556	0.296136198	0.00678351
ENSG00000047579	DTNBP1	0.00422509	0.983130021
ENSG00000047597	XK	-0.89659943	1.41E-07
ENSG00000047621	C12orf4	-0.19078595	0.00609046
ENSG00000047634	SCML1	-0.931015994	3.91E-09
ENSG00000047849	MAP4	-0.082079806	0.116590909
ENSG00000047932	GOPC	-0.625322593	5.79E-08
ENSG00000048028	USP28	-0.085908604	0.126833646
ENSG00000048052	HDAC9	0.977023086	0.00057621
ENSG00000048140	TSPAN17	0.125926385	0.084540546
ENSG00000048162	NOP16	-0.658871108	2.78E-07
ENSG00000048342	CC2D2A	-0.200090316	0.036033448
ENSG00000048392	RRM2B	0.111797252	0.153086339
ENSG00000048405	ZNF800	0.423973679	0.0001844
ENSG00000048471	SNX29	0.631776259	8.06E-07
ENSG00000048544	MRPS10	0.291629329	0.000171508
ENSG00000048649	RSF1	0.20621922	0.005331204
ENSG00000048707	VPS13D	0.344149311	8.60679E-05
ENSG00000048740	CELF2	1.674601743	1.19E-11
ENSG00000048828	FAM120A	-0.423386785	4.13E-07
ENSG00000048991	R3HDM1	-0.012762327	0.893382513
ENSG00000049089	COL9A2	0.041917075	0.856327368
ENSG00000049130	KITLG	0.077464355	0.387808684
ENSG00000049167	ERCC8	-0.392317303	0.000980662
ENSG00000049192	ADAMTS6	0.661856852	0.001623724
ENSG00000049239	H6PD	-0.429185136	2.18946E-05
ENSG00000049245	VAMP3	0.166694495	0.005628041
ENSG00000049246	PER3	-0.583323312	0.003660494
ENSG00000049323	LTBP1	0.085657439	0.261378954
ENSG00000049449	RCN1	-0.258227997	0.002563876
ENSG00000049541	RFC2	-0.54741713	9.31E-08
ENSG00000049618	ARID1B	-0.218128117	0.00490445
ENSG00000049656	CLPTM1L	-0.114944347	0.028936372
