ensembl_gene_id	signalp	tmhmm	gene_biotype	chromosome_name
ENSG00000275083	SignalP-noTM	TMhelix	protein_coding	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1
ENSG00000248767			protein_coding	7
ENSG00000185049			protein_coding	4
ENSG00000276072			protein_coding	CHR_HSCHR17_7_CTG4
ENSG00000101193			protein_coding	20
ENSG00000044012	SignalP-noTM	TMhelix	protein_coding	1
ENSG00000148719		TMhelix	protein_coding	10
ENSG00000132465	SignalP-noTM		protein_coding	4
ENSG00000148719			protein_coding	10
ENSG00000110700			protein_coding	11
ENSG00000196476			protein_coding	20
ENSG00000125872	SignalP-noTM	TMhelix	protein_coding	20
ENSG00000101222			protein_coding	20
ENSG00000197273	SignalP-noTM	TMhelix	protein_coding	1
ENSG00000125817			protein_coding	20
ENSG00000177685			protein_coding	11
ENSG00000164061			protein_coding	3
ENSG00000132464			protein_coding	4
ENSG00000197183			protein_coding	20
ENSG00000185069			protein_coding	12
ENSG00000286038			protein_coding	7
ENSG00000187801			protein_coding	1
ENSG00000179796	SignalP-noTM	TMhelix	protein_coding	3
ENSG00000255151			protein_coding	11
ENSG00000179796		TMhelix	protein_coding	3
ENSG00000179796			protein_coding	3
ENSG00000179796	SignalP-noTM		protein_coding	3
ENSG00000170340		TMhelix	protein_coding	2
ENSG00000137571		TMhelix	protein_coding	8
ENSG00000174799			protein_coding	4
ENSG00000137571			protein_coding	8
ENSG00000133661	SignalP-noTM		protein_coding	10
ENSG00000133661	SignalP-noTM	TMhelix	protein_coding	10
ENSG00000152217			protein_coding	18
ENSG00000276084	SignalP-noTM	TMhelix	protein_coding	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1
ENSG00000116731			protein_coding	1
ENSG00000163794	SignalP-noTM		protein_coding	2
ENSG00000106526			protein_coding	7
ENSG00000107140			protein_coding	9
ENSG00000134318			protein_coding	2
ENSG00000106526	SignalP-noTM		protein_coding	7
ENSG00000158528			protein_coding	7
ENSG00000165480			protein_coding	13
ENSG00000158856			protein_coding	8
ENSG00000177666		TMhelix	protein_coding	11
ENSG00000278606	SignalP-noTM	TMhelix	protein_coding	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1
ENSG00000138100			protein_coding	2
ENSG00000278606	SignalP-noTM		protein_coding	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1
ENSG00000183148			protein_coding	9
ENSG00000278606		TMhelix	protein_coding	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1
ENSG00000147874			protein_coding	9
ENSG00000186442			protein_coding	12
ENSG00000244274			protein_coding	20
ENSG00000106538	SignalP-noTM		protein_coding	7
ENSG00000173141			protein_coding	13
ENSG00000188707			protein_coding	7
ENSG00000056487			protein_coding	22
ENSG00000127399			protein_coding	7
ENSG00000170477			protein_coding	12
ENSG00000066336			protein_coding	11
ENSG00000095209			protein_coding	9
ENSG00000137101		TMhelix	protein_coding	9
ENSG00000066336		TMhelix	protein_coding	11
ENSG00000173914			protein_coding	11
ENSG00000277833	SignalP-noTM	TMhelix	protein_coding	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1
ENSG00000182022		TMhelix	protein_coding	10
ENSG00000065328			protein_coding	10
ENSG00000172361			protein_coding	18
ENSG00000183092			protein_coding	14
ENSG00000155561			protein_coding	7
ENSG00000182022			protein_coding	10
ENSG00000274402	SignalP-noTM	TMhelix	protein_coding	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1
ENSG00000095209		TMhelix	protein_coding	9
ENSG00000124251			protein_coding	20
ENSG00000286137			protein_coding	7
ENSG00000137101			protein_coding	9
ENSG00000145287			protein_coding	4
ENSG00000239306			protein_coding	11
ENSG00000173013			protein_coding	4
ENSG00000198815			protein_coding	1
ENSG00000011009			protein_coding	1
ENSG00000173011			protein_coding	4
ENSG00000104611			protein_coding	8
ENSG00000254806			protein_coding	20
ENSG00000224940	SignalP-noTM		protein_coding	7
ENSG00000224940			protein_coding	7
ENSG00000224940	SignalP-noTM	TMhelix	protein_coding	7
ENSG00000132405			protein_coding	4
ENSG00000248643			protein_coding	11
ENSG00000006611			protein_coding	11
ENSG00000183513			protein_coding	2
ENSG00000137558	SignalP-noTM		protein_coding	8
ENSG00000114023		TMhelix	protein_coding	3
ENSG00000187634			protein_coding	1
ENSG00000087589			protein_coding	20
ENSG00000204103			protein_coding	20
ENSG00000196981			protein_coding	3
ENSG00000204070		TMhelix	protein_coding	20
ENSG00000187815			protein_coding	1
ENSG00000126705			protein_coding	1
ENSG00000111701			protein_coding	12
ENSG00000103199			protein_coding	16
ENSG00000204070			protein_coding	20
ENSG00000275486	SignalP-noTM	TMhelix	protein_coding	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1
ENSG00000103269		TMhelix	protein_coding	16
ENSG00000164099	SignalP-noTM		protein_coding	4
ENSG00000275885			protein_coding	CHR_HSCHR19_4_CTG3_1
ENSG00000173933			protein_coding	11
ENSG00000277114			protein_coding	CHR_HSCHR19LRC_COX1_CTG3_1
ENSG00000169933			protein_coding	X
ENSG00000286014			protein_coding	7
ENSG00000189057			protein_coding	11
ENSG00000100664			protein_coding	14
ENSG00000171316			protein_coding	8
ENSG00000058799			protein_coding	1
ENSG00000162585			protein_coding	1
ENSG00000172888			protein_coding	3
ENSG00000058799		TMhelix	protein_coding	1
ENSG00000117298		TMhelix	protein_coding	1
ENSG00000100147	SignalP-noTM	TMhelix	protein_coding	22
ENSG00000166801			protein_coding	11
ENSG00000178809			protein_coding	7
ENSG00000100147	SignalP-noTM		protein_coding	22
ENSG00000277808			protein_coding	CHR_HSCHR19LRC_COX1_CTG3_1
ENSG00000255526			protein_coding	14
ENSG00000247315			protein_coding	20
ENSG00000134243	SignalP-noTM	TMhelix	protein_coding	1
ENSG00000117298			protein_coding	1
ENSG00000110171			protein_coding	11
ENSG00000134201			protein_coding	1
ENSG00000115107		TMhelix	protein_coding	2
ENSG00000177732			protein_coding	20
ENSG00000173085			protein_coding	4
ENSG00000134243			protein_coding	1
ENSG00000139055	SignalP-noTM		protein_coding	12
ENSG00000107625			protein_coding	10
ENSG00000139055			protein_coding	12
ENSG00000134243		TMhelix	protein_coding	1
ENSG00000185640			protein_coding	12
ENSG00000276061			protein_coding	CHR_HSCHR19_4_CTG3_1
ENSG00000165953	SignalP-noTM		protein_coding	14
ENSG00000139908			protein_coding	14
ENSG00000118600		TMhelix	protein_coding	12
ENSG00000173085		TMhelix	protein_coding	4
ENSG00000186009		TMhelix	protein_coding	13
ENSG00000163645			protein_coding	3
ENSG00000174740			protein_coding	X
ENSG00000196693			protein_coding	10
ENSG00000159239			protein_coding	2
ENSG00000204272			protein_coding	X
ENSG00000134202			protein_coding	1
ENSG00000118600			protein_coding	12
ENSG00000272391			protein_coding	7
ENSG00000189233			protein_coding	8
ENSG00000089091			protein_coding	20
ENSG00000264187			protein_coding	17
ENSG00000276061		TMhelix	protein_coding	CHR_HSCHR19_4_CTG3_1
ENSG00000213920			protein_coding	14
ENSG00000100519			protein_coding	14
ENSG00000272391		TMhelix	protein_coding	7
ENSG00000275618		TMhelix	protein_coding	CHR_HSCHR16_1_CTG1
ENSG00000275618			protein_coding	CHR_HSCHR16_1_CTG1
ENSG00000205189			protein_coding	8
ENSG00000073711			protein_coding	3
ENSG00000184344	SignalP-noTM		protein_coding	12
ENSG00000234218	SignalP-noTM		protein_coding	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000168135		TMhelix	protein_coding	22
ENSG00000125841		TMhelix	protein_coding	20
ENSG00000241386			protein_coding	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000227147			protein_coding	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000128606	SignalP-noTM		protein_coding	7
ENSG00000167840			protein_coding	17
ENSG00000091986	SignalP-noTM		protein_coding	3
ENSG00000104047			protein_coding	15
ENSG00000125841			protein_coding	20
ENSG00000278570			protein_coding	15
ENSG00000147144			protein_coding	X
ENSG00000048649			protein_coding	11
ENSG00000137478			protein_coding	11
ENSG00000169016			protein_coding	2
ENSG00000065911			protein_coding	2
ENSG00000133030			protein_coding	17
ENSG00000241386	SignalP-noTM	TMhelix	protein_coding	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000145332			protein_coding	4
ENSG00000170423			protein_coding	12
ENSG00000100372			protein_coding	22
ENSG00000091986		TMhelix	protein_coding	3
ENSG00000091986			protein_coding	3
ENSG00000284308			protein_coding	2
ENSG00000197461	SignalP-noTM		protein_coding	7
ENSG00000177990		TMhelix	protein_coding	12
ENSG00000197461			protein_coding	7
ENSG00000171729		TMhelix	protein_coding	1
ENSG00000134186			protein_coding	1
ENSG00000177990			protein_coding	12
ENSG00000102921			protein_coding	16
ENSG00000111348			protein_coding	12
ENSG00000276504			protein_coding	CHR_HSCHR19_4_CTG3_1
ENSG00000166831			protein_coding	15
ENSG00000134186		TMhelix	protein_coding	1
ENSG00000264324			protein_coding	2
ENSG00000196227			protein_coding	20
ENSG00000198758			protein_coding	1
ENSG00000100372		TMhelix	protein_coding	22
ENSG00000282684			protein_coding	CHR_HSCHR8_3_CTG7
ENSG00000165702			protein_coding	9
ENSG00000132825			protein_coding	20
ENSG00000130958			protein_coding	9
ENSG00000163421	SignalP-noTM		protein_coding	3
ENSG00000089053			protein_coding	12
ENSG00000197935			protein_coding	6
ENSG00000189337			protein_coding	1
ENSG00000114631	SignalP-noTM	TMhelix	protein_coding	3
ENSG00000067606			protein_coding	1
ENSG00000100196		TMhelix	protein_coding	22
ENSG00000147596			protein_coding	8
ENSG00000168090			protein_coding	7
ENSG00000183682	SignalP-noTM		protein_coding	1
ENSG00000198911			protein_coding	22
ENSG00000262664			protein_coding	17
ENSG00000148358	SignalP-noTM	TMhelix	protein_coding	9
ENSG00000165699			protein_coding	9
ENSG00000165684			protein_coding	9
ENSG00000148358			protein_coding	9
ENSG00000101194		TMhelix	protein_coding	20
ENSG00000198796			protein_coding	18
ENSG00000153015			protein_coding	5
ENSG00000079215		TMhelix	protein_coding	5
ENSG00000204704		TMhelix	protein_coding	6
ENSG00000148053	SignalP-noTM	TMhelix	protein_coding	9
ENSG00000130958		TMhelix	protein_coding	9
ENSG00000277789		TMhelix	protein_coding	CHR_HSCHR19LRC_COX1_CTG3_1
ENSG00000117682			protein_coding	1
ENSG00000123575			protein_coding	X
ENSG00000129204			protein_coding	17
ENSG00000100201			protein_coding	22
ENSG00000101194			protein_coding	20
ENSG00000204271			protein_coding	X
ENSG00000185974			protein_coding	13
ENSG00000168096			protein_coding	16
ENSG00000149609			protein_coding	20
ENSG00000278850	SignalP-noTM	TMhelix	protein_coding	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
ENSG00000187569			protein_coding	12
ENSG00000133313			protein_coding	18
ENSG00000130538		TMhelix	protein_coding	22
ENSG00000124103	SignalP-TM	TMhelix	protein_coding	20
ENSG00000132376			protein_coding	17
ENSG00000263022			protein_coding	CHR_HSCHR17_1_CTG4
ENSG00000204178		TMhelix	protein_coding	1
ENSG00000184898			protein_coding	2
ENSG00000204178			protein_coding	1
ENSG00000204271		TMhelix	protein_coding	X
ENSG00000276395	SignalP-noTM	TMhelix	protein_coding	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
ENSG00000186889		TMhelix	protein_coding	2
ENSG00000167178	SignalP-noTM		protein_coding	15
ENSG00000005421	SignalP-noTM		protein_coding	7
ENSG00000011405			protein_coding	11
ENSG00000133678		TMhelix	protein_coding	10
ENSG00000106524			protein_coding	7
ENSG00000184735			protein_coding	X
ENSG00000005421			protein_coding	7
ENSG00000167178	SignalP-noTM	TMhelix	protein_coding	15
ENSG00000175809			protein_coding	X
ENSG00000196305			protein_coding	9
ENSG00000130948		TMhelix	protein_coding	9
ENSG00000167178			protein_coding	15
ENSG00000130948			protein_coding	9
ENSG00000108963			protein_coding	17
ENSG00000143627			protein_coding	1
ENSG00000166246			protein_coding	16
ENSG00000285269			protein_coding	9
ENSG00000168010			protein_coding	11
ENSG00000176788			protein_coding	5
ENSG00000108963	SignalP-noTM		protein_coding	17
ENSG00000080200			protein_coding	3
ENSG00000156735			protein_coding	8
ENSG00000157212			protein_coding	7
ENSG00000176953			protein_coding	16
ENSG00000276870	SignalP-noTM	TMhelix	protein_coding	CHR_HSCHR16_1_CTG1
ENSG00000276870			protein_coding	CHR_HSCHR16_1_CTG1
ENSG00000116717			protein_coding	1
ENSG00000171540			protein_coding	5
ENSG00000177181			protein_coding	1
ENSG00000132963			protein_coding	13
ENSG00000115866			protein_coding	2
ENSG00000175324			protein_coding	8
ENSG00000165915	SignalP-noTM	TMhelix	protein_coding	11
ENSG00000174306			protein_coding	20
ENSG00000196363			protein_coding	9
ENSG00000122566			protein_coding	7
ENSG00000134250	SignalP-noTM	TMhelix	protein_coding	1
ENSG00000123576			protein_coding	X
ENSG00000134250			protein_coding	1
ENSG00000124215	SignalP-noTM	TMhelix	protein_coding	20
ENSG00000134250	SignalP-noTM		protein_coding	1
ENSG00000124215		TMhelix	protein_coding	20
ENSG00000161040			protein_coding	7
ENSG00000181788			protein_coding	3
ENSG00000124215			protein_coding	20
ENSG00000176444			protein_coding	1
ENSG00000104517			protein_coding	8
ENSG00000101311			protein_coding	20
ENSG00000204703		TMhelix	protein_coding	6
ENSG00000206531	SignalP-noTM	TMhelix	protein_coding	3
ENSG00000206531		TMhelix	protein_coding	3
ENSG00000278308			protein_coding	CHR_HSCHR16_1_CTG1
ENSG00000204702		TMhelix	protein_coding	6
ENSG00000214237			protein_coding	3
ENSG00000206531			protein_coding	3
ENSG00000022277			protein_coding	20
ENSG00000204701		TMhelix	protein_coding	6
ENSG00000163646		TMhelix	protein_coding	3
ENSG00000129009	SignalP-noTM		protein_coding	15
ENSG00000108018	SignalP-noTM	TMhelix	protein_coding	10
ENSG00000147642			protein_coding	8
ENSG00000273775	SignalP-noTM	TMhelix	protein_coding	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
ENSG00000108018		TMhelix	protein_coding	10
ENSG00000170854			protein_coding	3
ENSG00000138650	SignalP-noTM	TMhelix	protein_coding	4
ENSG00000163646	SignalP-TM	TMhelix	protein_coding	3
ENSG00000143630		TMhelix	protein_coding	1
ENSG00000183087	SignalP-TM		protein_coding	13
ENSG00000163646			protein_coding	3
ENSG00000050344		TMhelix	protein_coding	7
ENSG00000124091			protein_coding	20
ENSG00000050344			protein_coding	7
ENSG00000278656	SignalP-noTM	TMhelix	protein_coding	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1
ENSG00000110887			protein_coding	12
ENSG00000162595			protein_coding	1
ENSG00000260234			protein_coding	3
ENSG00000188687		TMhelix	protein_coding	2
ENSG00000188687	SignalP-TM	TMhelix	protein_coding	2
ENSG00000277421			protein_coding	CHR_HSCHR22_1_CTG3
ENSG00000127125			protein_coding	1
ENSG00000188687			protein_coding	2
ENSG00000184497		TMhelix	protein_coding	13
ENSG00000275499			protein_coding	CHR_HSCHR22_1_CTG3
ENSG00000065923	SignalP-noTM	TMhelix	protein_coding	X
ENSG00000050165	SignalP-noTM		protein_coding	11
ENSG00000117226			protein_coding	1
ENSG00000115446		TMhelix	protein_coding	2
ENSG00000275153			protein_coding	CHR_HSCHR17_7_CTG4
ENSG00000109099		TMhelix	protein_coding	17
ENSG00000144962			protein_coding	3
ENSG00000184895			protein_coding	Y
ENSG00000186409			protein_coding	1
ENSG00000116748			protein_coding	1
ENSG00000254535			protein_coding	4
ENSG00000109099			protein_coding	17
ENSG00000140396			protein_coding	8
ENSG00000197181			protein_coding	8
ENSG00000276349			protein_coding	CHR_HSCHR17_7_CTG4
ENSG00000170370			protein_coding	10
ENSG00000128510	SignalP-noTM		protein_coding	7
ENSG00000204700		TMhelix	protein_coding	6
ENSG00000129691			protein_coding	8
ENSG00000196535			protein_coding	17
ENSG00000100290		TMhelix	protein_coding	22
ENSG00000277362	SignalP-noTM	TMhelix	protein_coding	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
ENSG00000243449			protein_coding	4
ENSG00000243449	SignalP-noTM		protein_coding	4
ENSG00000186132			protein_coding	2
ENSG00000102924	SignalP-noTM		protein_coding	16
ENSG00000102924			protein_coding	16
ENSG00000128510			protein_coding	7
ENSG00000116729		TMhelix	protein_coding	1
ENSG00000122565			protein_coding	7
ENSG00000204568			protein_coding	6
ENSG00000188976			protein_coding	1
ENSG00000177182			protein_coding	8
ENSG00000163491			protein_coding	3
ENSG00000179598		TMhelix	protein_coding	17
ENSG00000189320			protein_coding	7
ENSG00000189320	SignalP-noTM		protein_coding	7
ENSG00000276310	SignalP-noTM	TMhelix	protein_coding	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
ENSG00000105852		TMhelix	protein_coding	7
ENSG00000204296		TMhelix	protein_coding	6
ENSG00000116729			protein_coding	1
ENSG00000276971		TMhelix	protein_coding	CHR_HSCHR7_2_CTG6
ENSG00000158258	SignalP-noTM	TMhelix	protein_coding	3
ENSG00000125967			protein_coding	20
ENSG00000165409	SignalP-noTM	TMhelix	protein_coding	14
ENSG00000230230			protein_coding	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000132300			protein_coding	2
ENSG00000165409	SignalP-noTM		protein_coding	14
ENSG00000165409			protein_coding	14
ENSG00000147465			protein_coding	8
ENSG00000105852			protein_coding	7
ENSG00000198805			protein_coding	14
ENSG00000172380			protein_coding	1
ENSG00000171044		TMhelix	protein_coding	8
ENSG00000154803			protein_coding	17
ENSG00000171044			protein_coding	8
ENSG00000164707		TMhelix	protein_coding	7
ENSG00000233932		TMhelix	protein_coding	15
ENSG00000276971			protein_coding	CHR_HSCHR7_2_CTG6
ENSG00000124181			protein_coding	20
ENSG00000211452			protein_coding	1
ENSG00000143107	SignalP-noTM		protein_coding	1
ENSG00000204569			protein_coding	6
ENSG00000211452		TMhelix	protein_coding	1
ENSG00000185818		TMhelix	protein_coding	4
ENSG00000143107			protein_coding	1
ENSG00000243317			protein_coding	7
ENSG00000100629			protein_coding	14
ENSG00000119787		TMhelix	protein_coding	2
ENSG00000243317	SignalP-noTM		protein_coding	7
ENSG00000204290		TMhelix	protein_coding	6
ENSG00000204290			protein_coding	6
ENSG00000285043		TMhelix	protein_coding	16
ENSG00000081138	SignalP-noTM	TMhelix	protein_coding	18
ENSG00000111262		TMhelix	protein_coding	12
ENSG00000285043			protein_coding	16
ENSG00000188191			protein_coding	7
ENSG00000119787			protein_coding	2
ENSG00000170242			protein_coding	11
ENSG00000111262			protein_coding	12
ENSG00000277936			protein_coding	CHR_HSCHR17_7_CTG4
ENSG00000255150			protein_coding	12
ENSG00000144040		TMhelix	protein_coding	2
ENSG00000091140			protein_coding	7
ENSG00000111275			protein_coding	12
ENSG00000144040			protein_coding	2
ENSG00000188467	SignalP-noTM	TMhelix	protein_coding	15
ENSG00000165623	SignalP-noTM		protein_coding	10
ENSG00000165478	SignalP-noTM	TMhelix	protein_coding	11
ENSG00000197629	SignalP-noTM	TMhelix	protein_coding	11
ENSG00000151136			protein_coding	12
ENSG00000221932			protein_coding	11
ENSG00000050405			protein_coding	12
ENSG00000120457		TMhelix	protein_coding	11
ENSG00000187609			protein_coding	9
ENSG00000111271			protein_coding	12
ENSG00000087128		TMhelix	protein_coding	4
ENSG00000276469	SignalP-noTM	TMhelix	protein_coding	CHR_HSCHR17_7_CTG4
ENSG00000087128			protein_coding	4
ENSG00000275013			protein_coding	CHR_HSCHR22_1_CTG3
ENSG00000153317			protein_coding	8
ENSG00000110042			protein_coding	11
ENSG00000164818			protein_coding	7
ENSG00000174370			protein_coding	11
ENSG00000125845	SignalP-noTM	TMhelix	protein_coding	20
ENSG00000113387			protein_coding	5
ENSG00000196497			protein_coding	14
ENSG00000135631			protein_coding	2
ENSG00000177192			protein_coding	12
ENSG00000198900			protein_coding	20
ENSG00000231268	SignalP-noTM	TMhelix	protein_coding	CHR_HSCHR6_MHC_APD_CTG1
ENSG00000100294			protein_coding	22
ENSG00000182247			protein_coding	3
ENSG00000090905			protein_coding	16
ENSG00000188488	SignalP-noTM		protein_coding	14
ENSG00000109519			protein_coding	4
ENSG00000176454		TMhelix	protein_coding	15
ENSG00000276387	SignalP-noTM	TMhelix	protein_coding	CHR_HSCHR19LRC_LRC_T_CTG3_1
ENSG00000164002			protein_coding	1
ENSG00000197888	SignalP-noTM	TMhelix	protein_coding	4
ENSG00000198178		TMhelix	protein_coding	12
ENSG00000085831			protein_coding	1
ENSG00000215474			protein_coding	18
ENSG00000198178			protein_coding	12
ENSG00000139508		TMhelix	protein_coding	13
ENSG00000130037		TMhelix	protein_coding	12
ENSG00000196620	SignalP-noTM	TMhelix	protein_coding	4
ENSG00000176454			protein_coding	15
ENSG00000221995			protein_coding	17
ENSG00000175697			protein_coding	3
ENSG00000125533			protein_coding	20
ENSG00000109576			protein_coding	4
ENSG00000080839			protein_coding	20
ENSG00000175697		TMhelix	protein_coding	3
ENSG00000015676			protein_coding	7
ENSG00000170681			protein_coding	9
ENSG00000139053			protein_coding	12
ENSG00000170142			protein_coding	3
ENSG00000228474		TMhelix	protein_coding	2
ENSG00000230308			protein_coding	CHR_HSCHR6_MHC_APD_CTG1
ENSG00000254505			protein_coding	14
ENSG00000114626			protein_coding	3
ENSG00000101911			protein_coding	X
ENSG00000084693			protein_coding	2
ENSG00000111011			protein_coding	12
ENSG00000104643			protein_coding	8
ENSG00000150527	SignalP-noTM		protein_coding	14
ENSG00000259522			protein_coding	14
ENSG00000121211			protein_coding	4
ENSG00000254692		TMhelix	protein_coding	14
ENSG00000274348		TMhelix	protein_coding	CHR_HSCHR7_2_CTG6
ENSG00000196136	SignalP-noTM		protein_coding	14
ENSG00000165733			protein_coding	10
ENSG00000241863			protein_coding	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000149925			protein_coding	16
ENSG00000205857			protein_coding	12
ENSG00000172175			protein_coding	18
ENSG00000091136			protein_coding	7
ENSG00000066185			protein_coding	1
ENSG00000196136			protein_coding	14
ENSG00000125775			protein_coding	20
ENSG00000071991	SignalP-noTM	TMhelix	protein_coding	18
ENSG00000071991			protein_coding	18
ENSG00000071991	SignalP-noTM		protein_coding	18
ENSG00000257767			protein_coding	12
ENSG00000091136	SignalP-noTM		protein_coding	7
ENSG00000103365			protein_coding	16
ENSG00000163428			protein_coding	3
ENSG00000243279		TMhelix	protein_coding	X
ENSG00000198431			protein_coding	12
ENSG00000167969			protein_coding	16
ENSG00000184985	SignalP-noTM	TMhelix	protein_coding	4
ENSG00000274322			protein_coding	20
ENSG00000226710			protein_coding	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000184985		TMhelix	protein_coding	4
ENSG00000178597	SignalP-noTM		protein_coding	4
ENSG00000174109			protein_coding	16
ENSG00000108061			protein_coding	10
ENSG00000100665	SignalP-noTM		protein_coding	14
ENSG00000092295			protein_coding	14
ENSG00000109265			protein_coding	4
ENSG00000170500			protein_coding	2
ENSG00000214367			protein_coding	4
ENSG00000163430	SignalP-noTM		protein_coding	3
ENSG00000273259			protein_coding	14
ENSG00000163430			protein_coding	3
ENSG00000100926	SignalP-noTM	TMhelix	protein_coding	14
ENSG00000277076	SignalP-noTM	TMhelix	protein_coding	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1
ENSG00000100926			protein_coding	14
ENSG00000100926		TMhelix	protein_coding	14
ENSG00000100300		TMhelix	protein_coding	22
ENSG00000120937	SignalP-noTM		protein_coding	1
ENSG00000224994			protein_coding	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000100300	SignalP-TM	TMhelix	protein_coding	22
ENSG00000100926	SignalP-noTM		protein_coding	14
ENSG00000185658			protein_coding	21
ENSG00000005339			protein_coding	16
ENSG00000231268		TMhelix	protein_coding	CHR_HSCHR6_MHC_APD_CTG1
ENSG00000116685		TMhelix	protein_coding	1
ENSG00000088832			protein_coding	20
ENSG00000277076	SignalP-noTM		protein_coding	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1
ENSG00000109181	SignalP-noTM	TMhelix	protein_coding	4
ENSG00000129559			protein_coding	14
ENSG00000166192			protein_coding	15
ENSG00000088832		TMhelix	protein_coding	20
ENSG00000130997			protein_coding	4
ENSG00000117228			protein_coding	1
ENSG00000067177			protein_coding	X
ENSG00000065154			protein_coding	10
ENSG00000171451	SignalP-noTM	TMhelix	protein_coding	18
ENSG00000132254			protein_coding	11
ENSG00000060982			protein_coding	12
ENSG00000111530			protein_coding	12
ENSG00000167799			protein_coding	11
ENSG00000198189	SignalP-noTM		protein_coding	4
ENSG00000153208	SignalP-noTM	TMhelix	protein_coding	2
ENSG00000241779			protein_coding	CHR_HSCHR6_MHC_APD_CTG1
ENSG00000153208		TMhelix	protein_coding	2
ENSG00000196526			protein_coding	4
ENSG00000149177	SignalP-noTM	TMhelix	protein_coding	11
ENSG00000135069			protein_coding	9
ENSG00000149177	SignalP-noTM		protein_coding	11
ENSG00000074803		TMhelix	protein_coding	15
ENSG00000166226			protein_coding	12
ENSG00000174579			protein_coding	3
ENSG00000153208			protein_coding	2
ENSG00000276218	SignalP-noTM	TMhelix	protein_coding	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
ENSG00000189108	SignalP-noTM	TMhelix	protein_coding	X
ENSG00000176399			protein_coding	9
ENSG00000189108		TMhelix	protein_coding	X
ENSG00000170509		TMhelix	protein_coding	4
ENSG00000204710			protein_coding	11
ENSG00000268629			protein_coding	X
ENSG00000121351	SignalP-noTM		protein_coding	12
ENSG00000175619		TMhelix	protein_coding	11
ENSG00000273993	SignalP-noTM	TMhelix	protein_coding	CHR_HSCHR6_1_CTG8
ENSG00000278522			protein_coding	15
ENSG00000132938			protein_coding	13
ENSG00000165186		TMhelix	protein_coding	X
ENSG00000165186			protein_coding	X
ENSG00000157978			protein_coding	1
