ensembl_gene_id	ensembl_transcript_id	ensembl_exon_id	rank	transcript_length
ENSG00000067646	ENST00000155093	ENSE00003895708	8	5336
ENSG00000053918	ENST00000155840	ENSE00003897095	16	3224
ENSG00000068394	ENST00000156109	ENSE00001756911	11	1658
ENSG00000021776	ENST00000156471	ENSE00001197624	35	9597
ENSG00000070526	ENST00000156626	ENSE00003499764	9	2489
ENSG00000071282	ENST00000157600	ENSE00001651667	6	8284
ENSG00000013275	ENST00000157812	ENSE00003890485	11	1754
ENSG00000073598	ENST00000158009	ENSE00001160547	4	1352
ENSG00000072818	ENST00000158762	ENSE00001268341	22	2511
ENSG00000072849	ENST00000158771	ENSE00001117573	7	4167
ENSG00000074771	ENST00000159060	ENSE00000813881	14	1980
ENSG00000074855	ENST00000159087	ENSE00003466721	18	4178
ENSG00000127663	ENST00000159111	ENSE00003846002	23	5604
ENSG00000076662	ENST00000160262	ENSE00003511776	7	1735
ENSG00000077063	ENST00000160373	ENSE00001129762	23	5904
ENSG00000077080	ENST00000160382	ENSE00000824953	14	1524
ENSG00000079616	ENST00000160827	ENSE00001318180	14	2081
ENSG00000005001	ENST00000161006	ENSE00002671372	6	1383
ENSG00000079385	ENST00000161559	ENSE00002485635	9	3491
ENSG00000047188	ENST00000161863	ENSE00000890209	30	6305
ENSG00000064545	ENST00000162044	ENSE00002268059	12	2251
ENSG00000050820	ENST00000162330	ENSE00001515203	7	4085
ENSG00000065970	ENST00000162391	ENSE00000867811	11	5524
ENSG00000067182	ENST00000162749	ENSE00003594635	10	2171
ENSG00000066455	ENST00000163416	ENSE00001762532	13	2879
ENSG00000008300	ENST00000164024	ENSE00001521962	35	11933
ENSG00000068971	ENST00000164133	ENSE00002433706	14	2729
ENSG00000068976	ENST00000164139	ENSE00003850850	20	2866
ENSG00000069399	ENST00000164227	ENSE00001549617	9	1877
ENSG00000069943	ENST00000164305	ENSE00002601319	12	1910
ENSG00000071677	ENST00000165524	ENSE00000850708	2	264
ENSG00000070404	ENST00000166139	ENSE00000892310	5	2501
ENSG00000070886	ENST00000166244	ENSE00001156943	17	5019
ENSG00000071539	ENST00000166345	ENSE00000852247	13	2431
ENSG00000071246	ENST00000167106	ENSE00001320354	7	6449
ENSG00000186847	ENST00000167586	ENSE00001729898	8	1636
ENSG00000171431	ENST00000167588	ENSE00001275723	8	1804
ENSG00000072080	ENST00000168148	ENSE00001417090	8	1021
ENSG00000072506	ENST00000168216	ENSE00003896917	6	954
ENSG00000075388	ENST00000168712	ENSE00000991995	3	3165
ENSG00000073849	ENST00000169298	ENSE00001392050	8	4604
ENSG00000075336	ENST00000169551	ENSE00001102320	6	3084
ENSG00000078898	ENST00000170150	ENSE00001852366	16	1788
ENSG00000079313	ENST00000170168	ENSE00000892148	16	4609
ENSG00000075975	ENST00000170447	ENSE00001300768	8	2775
ENSG00000076650	ENST00000170564	ENSE00002823779	20	3191
ENSG00000079999	ENST00000171111	ENSE00002867049	6	2565
ENSG00000078589	ENST00000171757	ENSE00001897011	4	3517
ENSG00000064300	ENST00000172229	ENSE00000819772	6	3408
ENSG00000065320	ENST00000173229	ENSE00001126297	7	5986
ENSG00000066583	ENST00000173527	ENSE00001232283	5	1942
ENSG00000067445	ENST00000173898	ENSE00003489742	13	4634
ENSG00000070444	ENST00000174618	ENSE00001279419	6	4925
ENSG00000068697	ENST00000175091	ENSE00000901179	7	1365
ENSG00000069206	ENST00000175238	ENSE00001724953	22	3367
ENSG00000072135	ENST00000175756	ENSE00001159610	15	3616
ENSG00000069696	ENST00000176183	ENSE00001318101	4	1399
ENSG00000070031	ENST00000176195	ENSE00001324300	4	526
ENSG00000072210	ENST00000176643	ENSE00003478307	10	3703
ENSG00000072786	ENST00000176763	ENSE00001003620	19	5892
ENSG00000073861	ENST00000177694	ENSE00001043177	6	2583
ENSG00000074410	ENST00000178638	ENSE00001820066	11	6098
ENSG00000137764	ENST00000178640	ENSE00001890016	22	2344
ENSG00000078237	ENST00000179259	ENSE00001158066	6	8209
ENSG00000078579	ENST00000180166	ENSE00001171149	3	1840
ENSG00000003987	ENST00000180173	ENSE00002112952	14	5110
ENSG00000080618	ENST00000181383	ENSE00003844263	11	1724
ENSG00000065883	ENST00000181839	ENSE00001942437	14	9525
ENSG00000064201	ENST00000182290	ENSE00000000305	10	1380
ENSG00000065308	ENST00000182527	ENSE00001183055	11	7047
ENSG00000066405	ENST00000183605	ENSE00001546979	5	3355
ENSG00000065518	ENST00000184266	ENSE00001859930	3	651
ENSG00000068097	ENST00000184956	ENSE00001431440	20	6108
ENSG00000068912	ENST00000185150	ENSE00003841937	14	2446
ENSG00000075568	ENST00000186436	ENSE00001153481	41	6701
ENSG00000072954	ENST00000187762	ENSE00001309146	6	2631
ENSG00000170848	ENST00000187910	ENSE00001820558	6	1703
ENSG00000078098	ENST00000188790	ENSE00003843462	26	2696
ENSG00000064218	ENST00000190165	ENSE00000681863	2	2493
ENSG00000079156	ENST00000190611	ENSE00001956410	25	10652
ENSG00000154252	ENST00000192314	ENSE00001869923	4	1452
ENSG00000065060	ENST00000192788	ENSE00001913117	21	9567
ENSG00000081087	ENST00000193322	ENSE00001121007	6	4471
ENSG00000081148	ENST00000193391	ENSE00001077794	19	8352
ENSG00000081800	ENST00000194130	ENSE00001011347	15	3798
ENSG00000081818	ENST00000194152	ENSE00000527102	1	3806
ENSG00000112852	ENST00000194155	ENSE00003759915	1	4089
ENSG00000082146	ENST00000194530	ENSE00001172825	12	2222
ENSG00000083444	ENST00000196061	ENSE00000818966	19	2976
ENSG00000083720	ENST00000196371	ENSE00001142959	17	3294
ENSG00000083812	ENST00000196482	ENSE00002249748	4	5054
ENSG00000083817	ENST00000196489	ENSE00000822470	4	2545
ENSG00000083845	ENST00000196551	ENSE00003891648	6	741
ENSG00000084444	ENST00000197268	ENSE00001410227	13	4711
ENSG00000085514	ENST00000198536	ENSE00001944756	7	1271
ENSG00000085721	ENST00000198767	ENSE00001869221	18	3706
ENSG00000166391	ENST00000198801	ENSE00001336139	6	2723
ENSG00000086189	ENST00000199320	ENSE00000837020	12	2831
ENSG00000086232	ENST00000199389	ENSE00001085181	15	4411
ENSG00000086288	ENST00000199447	ENSE00001923189	18	2308
ENSG00000086289	ENST00000199448	ENSE00000832415	3	2515
ENSG00000086504	ENST00000199706	ENSE00003831738	6	1524
ENSG00000086506	ENST00000199708	ENSE00000663730	3	528
ENSG00000086548	ENST00000199764	ENSE00001053047	6	2594
ENSG00000086589	ENST00000199814	ENSE00003557498	11	2299
ENSG00000086696	ENST00000199936	ENSE00001103819	5	1434
ENSG00000086827	ENST00000200135	ENSE00001130190	16	2873
ENSG00000132470	ENST00000200181	ENSE00002687875	40	5896
ENSG00000087077	ENST00000200457	ENSE00001833240	9	1693
ENSG00000073670	ENST00000200557	ENSE00001368023	27	4614
ENSG00000005893	ENST00000200639	ENSE00001187748	9	6535
ENSG00000197208	ENST00000200652	ENSE00001124255	10	2234
ENSG00000087237	ENST00000200676	ENSE00001925693	16	1691
ENSG00000087250	ENST00000200691	ENSE00003485101	3	406
ENSG00000087510	ENST00000201031	ENSE00001029211	7	2862
ENSG00000088002	ENST00000201586	ENSE00000000125	7	1196
ENSG00000131037	ENST00000201647	ENSE00003656781	20	2569
ENSG00000088320	ENST00000201979	ENSE00001018614	5	1660
ENSG00000088356	ENST00000202017	ENSE00001109504	5	1957
ENSG00000088808	ENST00000202556	ENSE00003834392	17	5500
ENSG00000166948	ENST00000202625	ENSE00003482779	13	2299
ENSG00000188559	ENST00000202677	ENSE00001774992	40	9545
ENSG00000089127	ENST00000202917	ENSE00001104120	6	1631
ENSG00000089195	ENST00000203001	ENSE00003847622	11	2929
ENSG00000249115	ENST00000203166	ENSE00003513911	19	4324
ENSG00000010256	ENST00000203407	ENSE00001861123	13	1595
ENSG00000089639	ENST00000203556	ENSE00001113554	21	3528
ENSG00000089692	ENST00000203629	ENSE00001293817	8	1976
ENSG00000089723	ENST00000203664	ENSE00001402552	6	3911
ENSG00000090447	ENST00000204517	ENSE00001739113	7	2163
ENSG00000090470	ENST00000204549	ENSE00001211778	5	2823
ENSG00000090487	ENST00000204566	ENSE00001949631	9	1799
ENSG00000090581	ENST00000204679	ENSE00001284338	11	1975
ENSG00000090971	ENST00000205194	ENSE00001175062	3	1350
ENSG00000157426	ENST00000205214	ENSE00001672937	15	3581
ENSG00000091140	ENST00000205402	ENSE00003643561	14	3537
ENSG00000091317	ENST00000205636	ENSE00001328818	4	3307
ENSG00000091583	ENST00000205948	ENSE00000837173	8	1174
ENSG00000091640	ENST00000206020	ENSE00000676418	7	1005
ENSG00000091844	ENST00000206262	ENSE00003891788	5	7932
ENSG00000091947	ENST00000206380	ENSE00003892239	4	1525
ENSG00000092010	ENST00000206451	ENSE00003477939	11	965
ENSG00000092094	ENST00000206542	ENSE00002473375	11	1976
ENSG00000092140	ENST00000206595	ENSE00001093147	15	5770
ENSG00000092295	ENST00000206765	ENSE00000889427	15	2744
ENSG00000092850	ENST00000207457	ENSE00003515484	10	1490
ENSG00000093217	ENST00000207870	ENSE00003524668	19	3667
ENSG00000187758	ENST00000209668	ENSE00001131569	9	1454
ENSG00000108244	ENST00000209718	ENSE00003517675	9	2209
ENSG00000094804	ENST00000209728	ENSE00003293006	12	4564
ENSG00000094914	ENST00000209873	ENSE00002374010	16	1815
ENSG00000094916	ENST00000209875	ENSE00001256276	5	11546
ENSG00000076321	ENST00000209884	ENSE00001329962	12	3414
ENSG00000094963	ENST00000209929	ENSE00001321274	9	5215
ENSG00000095059	ENST00000210060	ENSE00003198419	9	1345
ENSG00000167964	ENST00000210187	ENSE00002603494	9	1674
ENSG00000095261	ENST00000210313	ENSE00001853489	10	3381
ENSG00000095380	ENST00000210444	ENSE00003460525	6	1179
ENSG00000095917	ENST00000211076	ENSE00003745645	5	1573
ENSG00000174156	ENST00000211122	ENSE00003503238	7	908
ENSG00000156711	ENST00000211287	ENSE00002279320	12	6316
ENSG00000096092	ENST00000211314	ENSE00001015281	5	988
ENSG00000204314	ENST00000211413	ENSE00003843483	4	1892
ENSG00000035403	ENST00000211998	ENSE00001765583	22	5497
ENSG00000096717	ENST00000212015	ENSE00001562862	9	4107
ENSG00000069702	ENST00000212355	ENSE00001452590	17	6339
ENSG00000099203	ENST00000214869	ENSE00000888260	4	1633
ENSG00000099326	ENST00000215057	ENSE00003893808	6	2666
ENSG00000099330	ENST00000215061	ENSE00003130938	6	1111
ENSG00000099365	ENST00000215095	ENSE00001234884	10	4674
ENSG00000099617	ENST00000215368	ENSE00001305835	4	2424
ENSG00000099624	ENST00000215375	ENSE00003680378	4	995
ENSG00000095932	ENST00000215531	ENSE00003722023	4	1312
ENSG00000099769	ENST00000215539	ENSE00000656165	2	2058
ENSG00000099795	ENST00000215565	ENSE00003526432	3	535
ENSG00000099797	ENST00000215567	ENSE00003850515	13	1139
ENSG00000099800	ENST00000215570	ENSE00001052192	3	1664
ENSG00000099804	ENST00000215574	ENSE00000655680	5	1418
ENSG00000099812	ENST00000215582	ENSE00001311215	5	2885
ENSG00000099860	ENST00000215631	ENSE00001433290	4	1371
ENSG00000099866	ENST00000215637	ENSE00003842760	5	1541
ENSG00000188130	ENST00000215659	ENSE00003851007	12	1778
ENSG00000099937	ENST00000215727	ENSE00000879274	5	2203
ENSG00000099940	ENST00000215730	ENSE00001315626	5	4259
ENSG00000184436	ENST00000215742	ENSE00001899849	4	1913
ENSG00000099953	ENST00000215743	ENSE00003636030	8	2261
ENSG00000240972	ENST00000215754	ENSE00001839840	3	557
ENSG00000099974	ENST00000215770	ENSE00001493396	3	1582
ENSG00000099985	ENST00000215781	ENSE00001048397	3	1865
ENSG00000099992	ENST00000215790	ENSE00001920365	9	1972
ENSG00000099995	ENST00000215793	ENSE00001701490	16	5090
ENSG00000184979	ENST00000215794	ENSE00001371235	11	1858
ENSG00000100012	ENST00000215812	ENSE00001317700	12	2054
ENSG00000100028	ENST00000215829	ENSE00001402429	4	3466
ENSG00000100030	ENST00000215832	ENSE00001857706	9	5881
ENSG00000185339	ENST00000215838	ENSE00001815805	9	2192
ENSG00000100053	ENST00000215855	ENSE00001719172	6	855
ENSG00000100075	ENST00000215882	ENSE00001637785	9	1548
ENSG00000100078	ENST00000215885	ENSE00001168391	7	2600
ENSG00000100079	ENST00000215886	ENSE00000880163	4	596
ENSG00000241360	ENST00000215904	ENSE00001788029	2	2012
ENSG00000128203	ENST00000215906	ENSE00001836395	4	3370
ENSG00000100097	ENST00000215909	ENSE00001173615	4	528
ENSG00000100100	ENST00000215912	ENSE00001857358	6	2420
ENSG00000100104	ENST00000215917	ENSE00001316858	7	4020
ENSG00000100124	ENST00000215941	ENSE00001932625	8	2087
ENSG00000100139	ENST00000215957	ENSE00001938298	16	4710
ENSG00000100162	ENST00000215980	ENSE00003566646	6	938
ENSG00000100196	ENST00000216014	ENSE00001122832	5	1694
ENSG00000100206	ENST00000216024	ENSE00003843247	14	2269
ENSG00000100209	ENST00000216027	ENSE00003645654	6	1106
ENSG00000100216	ENST00000216034	ENSE00000880315	4	2031
ENSG00000100218	ENST00000216036	ENSE00001154490	7	1188
ENSG00000100220	ENST00000216038	ENSE00000879969	12	2019
ENSG00000100226	ENST00000216044	ENSE00001379047	12	4905
ENSG00000100246	ENST00000216068	ENSE00001048120	4	1474
ENSG00000100253	ENST00000216075	ENSE00001690311	10	1689
ENSG00000100263	ENST00000216085	ENSE00001622623	7	1777
ENSG00000243811	ENST00000216099	ENSE00001818616	7	2515
ENSG00000100276	ENST00000216101	ENSE00001326105	3	1431
ENSG00000100281	ENST00000216106	ENSE00001909264	11	4095
ENSG00000100290	ENST00000216115	ENSE00000880612	5	951
ENSG00000100292	ENST00000216117	ENSE00001380117	5	1554
ENSG00000184117	ENST00000216121	ENSE00001309149	10	2013
ENSG00000100297	ENST00000216122	ENSE00001883977	17	3458
ENSG00000100299	ENST00000216124	ENSE00003845710	8	4294
ENSG00000100302	ENST00000216127	ENSE00001044643	3	3447
ENSG00000100304	ENST00000216129	ENSE00001670000	14	3386
ENSG00000100307	ENST00000216133	ENSE00001299764	6	4111
ENSG00000100312	ENST00000216139	ENSE00001294892	5	1430
ENSG00000100314	ENST00000216144	ENSE00001313884	5	3334
ENSG00000100316	ENST00000216146	ENSE00001555640	10	1296
ENSG00000100324	ENST00000216160	ENSE00001109364	11	3198
ENSG00000100344	ENST00000216180	ENSE00000656929	9	2753
ENSG00000100345	ENST00000216181	ENSE00001230540	41	7451
ENSG00000100348	ENST00000216185	ENSE00001706774	4	1336
ENSG00000100353	ENST00000216190	ENSE00000880068	15	1880
ENSG00000100373	ENST00000216211	ENSE00000880722	6	1084
ENSG00000100380	ENST00000216218	ENSE00000880425	12	3212
ENSG00000100385	ENST00000216223	ENSE00001045260	10	4034
ENSG00000100387	ENST00000216225	ENSE00001814441	5	1169
ENSG00000100395	ENST00000216237	ENSE00003692834	17	3189
ENSG00000100399	ENST00000216241	ENSE00001658563	6	2530
ENSG00000100410	ENST00000216252	ENSE00001202354	4	1053
ENSG00000100412	ENST00000216254	ENSE00003848339	18	2734
ENSG00000100417	ENST00000216259	ENSE00001830264	8	1242
ENSG00000100422	ENST00000216264	ENSE00001227137	13	4442
ENSG00000100426	ENST00000216268	ENSE00000657465	2	6893
ENSG00000100429	ENST00000216271	ENSE00003583275	20	2567
ENSG00000129465	ENST00000216274	ENSE00001664322	10	1872
ENSG00000080824	ENST00000216281	ENSE00001784253	11	3228
ENSG00000087303	ENST00000216286	ENSE00003845866	22	4870
ENSG00000023608	ENST00000216294	ENSE00001206892	10	2593
ENSG00000092201	ENST00000216297	ENSE00000889083	26	4433
ENSG00000100448	ENST00000216336	ENSE00001267767	5	914
ENSG00000100450	ENST00000216338	ENSE00002535276	5	936
ENSG00000100453	ENST00000216341	ENSE00001735218	5	891
ENSG00000100479	ENST00000216367	ENSE00001093667	19	1692
ENSG00000100485	ENST00000216373	ENSE00001174956	23	5508
ENSG00000100504	ENST00000216392	ENSE00002201324	20	2799
ENSG00000100522	ENST00000216410	ENSE00001255438	6	3867
ENSG00000100528	ENST00000216416	ENSE00003729427	5	4735
ENSG00000100532	ENST00000216420	ENSE00000657572	6	1962
ENSG00000100554	ENST00000216442	ENSE00003846815	9	1599
ENSG00000100558	ENST00000216446	ENSE00002438547	9	1513
ENSG00000100564	ENST00000216452	ENSE00001168371	4	1394
ENSG00000100567	ENST00000216455	ENSE00003844789	11	955
ENSG00000100577	ENST00000216465	ENSE00002479832	9	1186
ENSG00000100580	ENST00000216468	ENSE00001231326	6	7761
ENSG00000100591	ENST00000216479	ENSE00002518265	9	1337
ENSG00000100599	ENST00000216487	ENSE00002518598	10	3852
ENSG00000100601	ENST00000216489	ENSE00001158423	6	2597
ENSG00000100604	ENST00000216492	ENSE00002466212	8	1985
ENSG00000100625	ENST00000216513	ENSE00000658203	3	6491
ENSG00000100652	ENST00000216540	ENSE00000807857	5	2002
ENSG00000100664	ENST00000216554	ENSE00001026216	12	5710
ENSG00000100739	ENST00000216629	ENSE00000660133	3	1301
ENSG00000100749	ENST00000216639	ENSE00001203554	13	1663
ENSG00000100823	ENST00000216714	ENSE00002441263	5	1453
ENSG00000100842	ENST00000216733	ENSE00001951774	6	2653
ENSG00000100865	ENST00000216756	ENSE00002502170	5	953
ENSG00000100883	ENST00000216774	ENSE00003891480	16	2187
ENSG00000100889	ENST00000216780	ENSE00003894179	10	2179
ENSG00000100906	ENST00000216797	ENSE00000889712	6	1559
ENSG00000100908	ENST00000216799	ENSE00000889357	6	838
ENSG00000100911	ENST00000216802	ENSE00003609654	11	793
ENSG00000100916	ENST00000216807	ENSE00001280291	10	2637
ENSG00000100941	ENST00000216832	ENSE00000889803	9	3537
ENSG00000019186	ENST00000216862	ENSE00000845669	12	3278
ENSG00000020256	ENST00000216923	ENSE00001455405	6	3057
ENSG00000100994	ENST00000216962	ENSE00001860485	20	4116
ENSG00000101000	ENST00000216968	ENSE00000860180	4	1349
ENSG00000101057	ENST00000217026	ENSE00001660340	14	2668
ENSG00000101074	ENST00000217043	ENSE00000844865	5	1323
ENSG00000101104	ENST00000217073	ENSE00001699543	15	2141
ENSG00000101115	ENST00000217086	ENSE00001920922	4	5209
ENSG00000101138	ENST00000217109	ENSE00003657539	6	4032
ENSG00000101160	ENST00000217131	ENSE00000845864	6	1502
ENSG00000101162	ENST00000217133	ENSE00001029829	4	3321
ENSG00000101187	ENST00000217159	ENSE00003583345	12	2716
ENSG00000101197	ENST00000217169	ENSE00001903310	7	1334
ENSG00000185019	ENST00000217173	ENSE00001343747	5	4300
ENSG00000101210	ENST00000217182	ENSE00001251111	8	1773
ENSG00000101266	ENST00000217244	ENSE00003819107	14	12984
ENSG00000101282	ENST00000217260	ENSE00000990907	5	2757
ENSG00000101327	ENST00000217305	ENSE00001108022	4	2556
ENSG00000101342	ENST00000217320	ENSE00003559733	7	2076
ENSG00000101400	ENST00000217381	ENSE00001952368	8	2211
ENSG00000101405	ENST00000217386	ENSE00001044025	3	513
ENSG00000101421	ENST00000217402	ENSE00001288764	5	1602
ENSG00000129988	ENST00000217407	ENSE00001037453	15	1825
ENSG00000101438	ENST00000217420	ENSE00000844671	2	2550
ENSG00000101444	ENST00000217426	ENSE00001820276	10	2150
ENSG00000101446	ENST00000217428	ENSE00001458362	2	474
ENSG00000101473	ENST00000217455	ENSE00001817842	6	1154
ENSG00000101474	ENST00000217456	ENSE00001635368	9	2202
ENSG00000091164	ENST00000217515	ENSE00001106452	8	6840
ENSG00000101695	ENST00000217740	ENSE00001279677	6	5573
ENSG00000273841	ENST00000217893	ENSE00002024534	3	1163
ENSG00000067829	ENST00000217901	ENSE00001936970	13	1335
ENSG00000077713	ENST00000217909	ENSE00001731111	5	2507
ENSG00000101825	ENST00000217939	ENSE00001487548	7	9804
ENSG00000101843	ENST00000217958	ENSE00001764642	5	1470
ENSG00000101856	ENST00000217971	ENSE00001037750	3	1879
ENSG00000101883	ENST00000217999	ENSE00001187848	3	747
ENSG00000101890	ENST00000218006	ENSE00001362733	20	3728
ENSG00000101892	ENST00000218008	ENSE00003844628	8	4757
ENSG00000101916	ENST00000218032	ENSE00001130430	2	4216
ENSG00000101951	ENST00000218068	ENSE00003891832	5	790
ENSG00000101958	ENST00000218075	ENSE00001880627	9	3208
ENSG00000101981	ENST00000218099	ENSE00001029145	8	2800
ENSG00000101986	ENST00000218104	ENSE00001050308	10	3669
ENSG00000102057	ENST00000218176	ENSE00001841325	6	4718
ENSG00000102109	ENST00000218230	ENSE00001958719	3	1025
ENSG00000102128	ENST00000218249	ENSE00000675363	1	1029
ENSG00000102195	ENST00000218316	ENSE00001306006	2	2020
ENSG00000102218	ENST00000218340	ENSE00001093037	5	3700
ENSG00000102241	ENST00000218364	ENSE00001305625	9	2694
ENSG00000102265	ENST00000218388	ENSE00001472498	6	769
ENSG00000102313	ENST00000218436	ENSE00001331370	13	4964
ENSG00000102393	ENST00000218516	ENSE00003554033	7	1318
ENSG00000102539	ENST00000218721	ENSE00003524346	2	1239
ENSG00000102837	ENST00000219022	ENSE00001315467	5	2843
ENSG00000006194	ENST00000219069	ENSE00000830618	6	3282
ENSG00000087245	ENST00000219070	ENSE00001931477	13	3514
ENSG00000091651	ENST00000219097	ENSE00001203166	7	1615
ENSG00000125149	ENST00000219139	ENSE00001206378	16	2917
